timestamp,pdf_stem,pdf_path,n_munis_pedidos,n_munis_encontrados,n_munis_validos,status,modelo,tokens_in,tokens_out,tokens_cached,cost_usd,n_imagenes,elapsed_sec,error,slugs_encontrados,slugs_no_encontrados
2026-05-05T17:43:48+00:00,2013CXCII50XIII,C:\Users\gibra\OneDrive\Documents\Thesis\predial-mx\data\sonora\pdf_ocr\2013\2013CXCII50XIII_ocr.pdf,2,0,0,error,gpt-5.4,0,0,0,0.0,80,192.73499999998603,"api_error: BadRequestError: Error code: 400 - {'error': {'message': 'Total image size is 96.63MB, which exceeds the allowed limit of 50.0MB.', 'type': 'invalid_request_error', 'param': 'messages', 'code': None}}",,
2026-05-05T17:48:31+00:00,2013CXCII50XIII,C:\Users\gibra\OneDrive\Documents\Thesis\predial-mx\data\sonora\pdf_ocr\2013\2013CXCII50XIII_ocr.pdf,2,0,0,error,gpt-5.4,0,0,0,0.0,80,131.5779999999795,"api_error: BadRequestError: Error code: 400 - {'error': {'message': ""Invalid schema for response_format 'VisionMultiOutput': In context=('properties', 'tabla_cruda', 'items'), 'additionalProperties' is required to be supplied and to be false."", 'type': 'invalid_request_error', 'param': 'response_format', 'code': None}}",,
2026-05-05T17:51:29+00:00,2013CXCII50XIII,C:\Users\gibra\OneDrive\Documents\Thesis\predial-mx\data\sonora\pdf_ocr\2013\2013CXCII50XIII_ocr.pdf,2,2,2,ok,gpt-5.4,74169,2180,0,0.20722250000000003,80,179.90700000000652,,agua_prieta;cananea,
2026-05-05T17:55:14+00:00,2009CLXXXIV53VIII,C:\Users\gibra\OneDrive\Documents\Thesis\predial-mx\data\sonora\pdf_ocr\2009\2009CLXXXIV53VIII_ocr.pdf,2,2,2,ok,gpt-5.4,162232,1703,0,0.42261000000000004,80,102.70299999997951,,aconchi;navojoa,
2026-05-05T17:56:58+00:00,2013CXCII50XV,C:\Users\gibra\OneDrive\Documents\Thesis\predial-mx\data\sonora\pdf_ocr\2013\2013CXCII50XV_ocr.pdf,4,4,4,ok,gpt-5.4,98676,2312,0,0.26981,80,159.0470000000205,,aconchi;alamos;arivechi;bacoachi,
2026-05-05T17:59:38+00:00,2014CXCIV52VIII,C:\Users\gibra\OneDrive\Documents\Thesis\predial-mx\data\sonora\pdf_ocr\2014\2014CXCIV52VIII_ocr.pdf,3,0,0,error,gpt-5.4,0,0,0,0.0,80,112.73499999998603,"api_error: BadRequestError: Error code: 400 - {'error': {'message': 'Total image size is 57.61MB, which exceeds the allowed limit of 50.0MB.', 'type': 'invalid_request_error', 'param': 'messages', 'code': None}}",,
2026-05-05T18:01:31+00:00,2015CXCVI51VII,C:\Users\gibra\OneDrive\Documents\Thesis\predial-mx\data\sonora\pdf_ocr\2015\2015CXCVI51VII_ocr.pdf,4,4,4,ok,gpt-5.4,198278,2615,6912,0.521845,80,113.5,,aconchi;agua_prieta;altar;arizpe,
2026-05-05T18:03:26+00:00,2018CCII51VII,C:\Users\gibra\OneDrive\Documents\Thesis\predial-mx\data\sonora\pdf_raw\2018\2018CCII51VII.pdf,2,0,0,no_validos,gpt-5.4,130810,72,6912,0.327745,80,53.03200000000652,,,aconchi:no_aparece_en_pdf;bacadehuachi:no_aparece_en_pdf
2026-05-05T18:04:20+00:00,2021CCVIII53X,C:\Users\gibra\OneDrive\Documents\Thesis\predial-mx\data\sonora\pdf_raw\2021\2021CCVIII53X.pdf,6,6,6,ok,gpt-5.4,130868,3327,6912,0.36044000000000004,80,106.73499999998603,,aconchi;bacum;banamichi;baviacora;bavispe;cucurpe,
2026-05-05T18:06:08+00:00,2022CCX52XIV,C:\Users\gibra\OneDrive\Documents\Thesis\predial-mx\data\sonora\pdf_raw\2022\2022CCX52XIV.pdf,2,2,2,ok,gpt-5.4,130805,1457,0,0.34158250000000007,80,76.89099999994505,,aconchi;altar,
2026-05-05T18:07:26+00:00,2023CCXII52V,C:\Users\gibra\OneDrive\Documents\Thesis\predial-mx\data\sonora\pdf_raw\2023\2023CCXII52V.pdf,1,1,1,ok,gpt-5.4,130792,909,0,0.33607000000000004,80,72.68800000008196,,aconchi,
2026-05-05T18:08:39+00:00,2024CCXIV53V,C:\Users\gibra\OneDrive\Documents\Thesis\predial-mx\data\sonora\pdf_raw\2024\2024CCXIV53V.pdf,2,2,2,ok,gpt-5.4,130805,1396,0,0.34097250000000007,80,79.53099999995902,,aconchi;altar,
2026-05-05T18:10:00+00:00,2009CLXXXIII16III,C:\Users\gibra\OneDrive\Documents\Thesis\predial-mx\data\sonora\pdf_ocr\2009\2009CLXXXIII16III_ocr.pdf,4,0,0,no_validos,gpt-5.4,56948,134,6912,0.14371000000000003,18,41.53100000007544,,,agua_prieta:tarifa_no_extraible;caborca:tarifa_no_extraible;general_plutarco_elias_calles:tarifa_no_extraible;nogales:tarifa_no_extraible
