cve_mun,municipio,anio,tipo_override,source
001,Aconchi,2011,progresivo,audit_individual
001,Aconchi,2018,progresivo,audit_individual
002,Agua Prieta,2013,progresivo,audit_individual
002,Agua Prieta,2017,progresivo,audit_individual
002,Agua Prieta,2020,progresivo,audit_individual
002,Agua Prieta,2023,progresivo,audit_individual
003,alamos,2010,progresivo,audit_individual
003,alamos,2013,progresivo,audit_individual
004,Altar,2018,progresivo,audit_individual
004,Altar,2019,progresivo,user_reversion_noise
004,Altar,2020,progresivo,user_reversion_noise
004,Altar,2024,progresivo,audit_individual
005,Arivechi,2013,progresivo,audit_individual
005,Arivechi,2017,progresivo,audit_individual
005,Arivechi,2023,progresivo,audit_individual
006,Arizpe,2023,progresivo,audit_individual
007,Atil,2016,progresivo,audit_individual
007,Atil,2018,progresivo,audit_individual
007,Atil,2023,progresivo,audit_individual
008,Bacadehuachi,2017,progresivo,audit_individual
009,Bacanora,2018,progresivo,audit_individual
009,Bacanora,2019,progresivo,audit_individual
009,Bacanora,2025,progresivo,audit_individual
010,Bacerac,2013,progresivo,audit_individual
010,Bacerac,2017,progresivo,audit_individual
010,Bacerac,2021,progresivo,audit_individual
010,Bacerac,2024,progresivo,audit_individual
010,Bacerac,2025,progresivo,audit_individual
011,Bacoachi,2018,progresivo,audit_individual
011,Bacoachi,2019,progresivo,user_reversion_noise
011,Bacoachi,2020,progresivo,user_reversion_noise
011,Bacoachi,2022,progresivo,audit_individual
011,Bacoachi,2023,progresivo,audit_individual
011,Bacoachi,2025,progresivo,audit_individual
012,Bacum,2011,progresivo,user_reversion_noise
012,Bacum,2012,progresivo,user_reversion_noise
012,Bacum,2013,progresivo,user_reversion_noise
012,Bacum,2020,progresivo,audit_individual
012,Bacum,2023,progresivo,audit_individual
012,Bacum,2025,progresivo,audit_individual
013,Banamichi,2013,progresivo,audit_individual
013,Banamichi,2018,progresivo,audit_individual
014,Baviacora,2013,progresivo,audit_individual
014,Baviacora,2017,progresivo,audit_individual
014,Baviacora,2020,progresivo,audit_individual
014,Baviacora,2023,progresivo,audit_individual
015,Bavispe,2010,progresivo,audit_individual
015,Bavispe,2011,progresivo,audit_individual
015,Bavispe,2012,progresivo,audit_individual
015,Bavispe,2013,progresivo,audit_individual
015,Bavispe,2018,progresivo,audit_individual
015,Bavispe,2019,progresivo,user_reversion_noise
015,Bavispe,2020,progresivo,user_reversion_noise
015,Bavispe,2021,progresivo,user_reversion_noise
015,Bavispe,2024,progresivo,audit_individual
015,Bavispe,2025,progresivo,audit_individual
016,Benjamin Hill,2016,progresivo,audit_individual
016,Benjamin Hill,2020,progresivo,audit_individual
016,Benjamin Hill,2021,progresivo,audit_individual
017,Caborca,2010,progresivo,audit_individual
017,Caborca,2012,progresivo,audit_individual
017,Caborca,2018,progresivo,audit_individual
017,Caborca,2022,progresivo,audit_individual
018,Cajeme,2019,tarifa_millar,audit_individual
019,Cananea,2023,progresivo,audit_individual
019,Cananea,2024,progresivo,user_reversion_noise
019,Cananea,2025,progresivo,user_reversion_noise
020,Carbo,2010,progresivo,user_reversion_noise
020,Carbo,2011,progresivo,user_reversion_noise
020,Carbo,2012,progresivo,user_reversion_noise
020,Carbo,2018,progresivo,audit_individual
020,Carbo,2019,progresivo,user_reversion_noise
020,Carbo,2020,progresivo,user_reversion_noise
020,Carbo,2023,progresivo,audit_individual
020,Carbo,2024,mixto,audit_individual
021,La Colorada,2010,progresivo,audit_range
021,La Colorada,2011,progresivo,audit_range
021,La Colorada,2012,progresivo,audit_range
021,La Colorada,2013,progresivo,audit_range
021,La Colorada,2014,progresivo,audit_range
021,La Colorada,2015,progresivo,audit_range
021,La Colorada,2016,progresivo,audit_range
021,La Colorada,2017,progresivo,audit_range
021,La Colorada,2019,progresivo,audit_individual
021,La Colorada,2020,progresivo,user_reversion_noise
021,La Colorada,2021,progresivo,user_reversion_noise
021,La Colorada,2022,progresivo,user_reversion_noise
021,La Colorada,2023,progresivo,user_reversion_noise
021,La Colorada,2024,progresivo,user_reversion_noise
021,La Colorada,2025,progresivo,user_reversion_noise
022,Cucurpe,2010,progresivo,audit_range
022,Cucurpe,2011,progresivo,audit_range
022,Cucurpe,2012,progresivo,audit_range
022,Cucurpe,2013,progresivo,audit_range
022,Cucurpe,2014,progresivo,audit_range
022,Cucurpe,2015,progresivo,audit_range
022,Cucurpe,2016,progresivo,audit_range
022,Cucurpe,2017,progresivo,audit_range
022,Cucurpe,2018,progresivo,audit_range
022,Cucurpe,2019,progresivo,audit_range
022,Cucurpe,2020,progresivo,audit_range
022,Cucurpe,2021,progresivo,audit_individual
023,Cumpas,2010,progresivo,audit_range
023,Cumpas,2011,progresivo,audit_range
023,Cumpas,2012,progresivo,audit_range
023,Cumpas,2013,progresivo,audit_range
023,Cumpas,2014,progresivo,audit_range
023,Cumpas,2015,progresivo,audit_range
023,Cumpas,2016,progresivo,audit_range
023,Cumpas,2017,progresivo,audit_individual
023,Cumpas,2018,progresivo,audit_individual
023,Cumpas,2021,progresivo,audit_individual
024,Divisaderos,2010,progresivo,audit_range
024,Divisaderos,2011,progresivo,audit_range
024,Divisaderos,2012,progresivo,audit_range
024,Divisaderos,2013,progresivo,audit_range
024,Divisaderos,2014,progresivo,audit_range
024,Divisaderos,2015,progresivo,audit_individual
024,Divisaderos,2016,progresivo,audit_range
024,Divisaderos,2017,progresivo,audit_range
024,Divisaderos,2018,progresivo,audit_range
024,Divisaderos,2019,progresivo,audit_range
024,Divisaderos,2020,progresivo,audit_range
024,Divisaderos,2021,progresivo,audit_range
024,Divisaderos,2022,progresivo,audit_range
024,Divisaderos,2023,progresivo,audit_range
024,Divisaderos,2024,progresivo,audit_range
024,Divisaderos,2025,progresivo,audit_range
025,Empalme,2018,progresivo,audit_individual
025,Empalme,2019,progresivo,user_reversion_noise
025,Empalme,2020,progresivo,user_reversion_noise
025,Empalme,2021,progresivo,user_reversion_noise
025,Empalme,2022,progresivo,user_reversion_noise
027,Fronteras,2012,progresivo,audit_individual
027,Fronteras,2017,progresivo,audit_individual
027,Fronteras,2018,progresivo,user_reversion_noise
027,Fronteras,2019,progresivo,user_reversion_noise
027,Fronteras,2020,progresivo,user_reversion_noise
027,Fronteras,2021,progresivo,user_reversion_noise
027,Fronteras,2022,progresivo,user_reversion_noise
027,Fronteras,2023,progresivo,user_reversion_noise
027,Fronteras,2024,progresivo,user_reversion_noise
027,Fronteras,2025,progresivo,user_reversion_noise
028,Granados,2017,progresivo,audit_individual
028,Granados,2018,progresivo,audit_individual
028,Granados,2020,progresivo,audit_individual
028,Granados,2021,progresivo,user_reversion_noise
028,Granados,2022,progresivo,user_reversion_noise
028,Granados,2023,progresivo,user_reversion_noise
028,Granados,2024,progresivo,user_reversion_noise
028,Granados,2025,progresivo,user_reversion_noise
029,Guaymas,2015,tarifa_millar,audit_individual
029,Guaymas,2016,tarifa_millar,audit_individual
029,Guaymas,2019,tarifa_millar,audit_individual
029,Guaymas,2024,tarifa_millar,audit_individual
029,Guaymas,2025,tarifa_millar,audit_individual
031,Huachinera,2010,progresivo,audit_range
031,Huachinera,2011,progresivo,audit_range
031,Huachinera,2012,progresivo,audit_range
031,Huachinera,2013,progresivo,audit_range
031,Huachinera,2014,progresivo,audit_range
031,Huachinera,2015,progresivo,audit_range
031,Huachinera,2016,progresivo,audit_range
031,Huachinera,2017,progresivo,audit_range
031,Huachinera,2018,progresivo,audit_individual
031,Huachinera,2019,progresivo,audit_range
031,Huachinera,2020,progresivo,audit_range
031,Huachinera,2021,progresivo,audit_range
031,Huachinera,2022,progresivo,audit_range
031,Huachinera,2023,progresivo,audit_range
031,Huachinera,2024,progresivo,audit_individual
031,Huachinera,2025,progresivo,audit_individual
