ejercicio,cve_mun,municipio,slug,json_file,metodo
2010,001,Balancán,balancan,2010/TAB_2010_balancan.json,hardcoded_ley_hacienda_municipal
2010,002,Cárdenas,cardenas,2010/TAB_2010_cardenas.json,hardcoded_ley_hacienda_municipal
2010,003,Centla,centla,2010/TAB_2010_centla.json,hardcoded_ley_hacienda_municipal
2010,004,Centro,centro,2010/TAB_2010_centro.json,hardcoded_ley_hacienda_municipal
2010,005,Comalcalco,comalcalco,2010/TAB_2010_comalcalco.json,hardcoded_ley_hacienda_municipal
2010,006,Cunduacán,cunduacan,2010/TAB_2010_cunduacan.json,hardcoded_ley_hacienda_municipal
2010,007,Emiliano Zapata,emiliano_zapata,2010/TAB_2010_emiliano_zapata.json,hardcoded_ley_hacienda_municipal
2010,008,Huimanguillo,huimanguillo,2010/TAB_2010_huimanguillo.json,hardcoded_ley_hacienda_municipal
2010,009,Jalapa,jalapa,2010/TAB_2010_jalapa.json,hardcoded_ley_hacienda_municipal
2010,010,Jalpa de Méndez,jalpa_de_mendez,2010/TAB_2010_jalpa_de_mendez.json,hardcoded_ley_hacienda_municipal
2010,011,Jonuta,jonuta,2010/TAB_2010_jonuta.json,hardcoded_ley_hacienda_municipal
2010,012,Macuspana,macuspana,2010/TAB_2010_macuspana.json,hardcoded_ley_hacienda_municipal
2010,013,Nacajuca,nacajuca,2010/TAB_2010_nacajuca.json,hardcoded_ley_hacienda_municipal
2010,014,Paraíso,paraiso,2010/TAB_2010_paraiso.json,hardcoded_ley_hacienda_municipal
2010,015,Tacotalpa,tacotalpa,2010/TAB_2010_tacotalpa.json,hardcoded_ley_hacienda_municipal
2010,016,Teapa,teapa,2010/TAB_2010_teapa.json,hardcoded_ley_hacienda_municipal
2010,017,Tenosique,tenosique,2010/TAB_2010_tenosique.json,hardcoded_ley_hacienda_municipal
2011,001,Balancán,balancan,2011/TAB_2011_balancan.json,hardcoded_ley_hacienda_municipal
2011,002,Cárdenas,cardenas,2011/TAB_2011_cardenas.json,hardcoded_ley_hacienda_municipal
2011,003,Centla,centla,2011/TAB_2011_centla.json,hardcoded_ley_hacienda_municipal
2011,004,Centro,centro,2011/TAB_2011_centro.json,hardcoded_ley_hacienda_municipal
2011,005,Comalcalco,comalcalco,2011/TAB_2011_comalcalco.json,hardcoded_ley_hacienda_municipal
2011,006,Cunduacán,cunduacan,2011/TAB_2011_cunduacan.json,hardcoded_ley_hacienda_municipal
2011,007,Emiliano Zapata,emiliano_zapata,2011/TAB_2011_emiliano_zapata.json,hardcoded_ley_hacienda_municipal
2011,008,Huimanguillo,huimanguillo,2011/TAB_2011_huimanguillo.json,hardcoded_ley_hacienda_municipal
2011,009,Jalapa,jalapa,2011/TAB_2011_jalapa.json,hardcoded_ley_hacienda_municipal
2011,010,Jalpa de Méndez,jalpa_de_mendez,2011/TAB_2011_jalpa_de_mendez.json,hardcoded_ley_hacienda_municipal
2011,011,Jonuta,jonuta,2011/TAB_2011_jonuta.json,hardcoded_ley_hacienda_municipal
2011,012,Macuspana,macuspana,2011/TAB_2011_macuspana.json,hardcoded_ley_hacienda_municipal
2011,013,Nacajuca,nacajuca,2011/TAB_2011_nacajuca.json,hardcoded_ley_hacienda_municipal
2011,014,Paraíso,paraiso,2011/TAB_2011_paraiso.json,hardcoded_ley_hacienda_municipal
2011,015,Tacotalpa,tacotalpa,2011/TAB_2011_tacotalpa.json,hardcoded_ley_hacienda_municipal
2011,016,Teapa,teapa,2011/TAB_2011_teapa.json,hardcoded_ley_hacienda_municipal
2011,017,Tenosique,tenosique,2011/TAB_2011_tenosique.json,hardcoded_ley_hacienda_municipal
