municipio,anio,anomalia,json_path
altamira,2010,tipo_progresivo_con_tabla_tarifa_no_vacia,data\tamaulipas\json_predial\2010\TAMPS_PREDIAL_2010_altamira.json
tampico,2010,tipo_mixto_sin_tablas,data\tamaulipas\json_predial\2010\TAMPS_PREDIAL_2010_tampico.json
altamira,2011,tipo_progresivo_con_tabla_tarifa_no_vacia,data\tamaulipas\json_predial\2011\TAMPS_PREDIAL_2011_altamira.json
cruillas,2011,cambio_esquema_tarifa_millar_a_tasa_unica_desde_2010,data\tamaulipas\json_predial\2011\TAMPS_PREDIAL_2011_cruillas.json
jimenez,2011,minimo_predial_no_dict,data\tamaulipas\json_predial\2011\TAMPS_PREDIAL_2011_jimenez.json
altamira,2012,cambio_brusco_n_filas_10_a_1,data\tamaulipas\json_predial\2012\TAMPS_PREDIAL_2012_altamira.json
altamira,2012,cambio_esquema_progresivo_a_mixto_desde_2011,data\tamaulipas\json_predial\2012\TAMPS_PREDIAL_2012_altamira.json
gonzalez,2012,cambio_brusco_n_filas_3_a_1,data\tamaulipas\json_predial\2012\TAMPS_PREDIAL_2012_gonzalez.json
san_fernando,2012,cambio_brusco_n_filas_5_a_2,data\tamaulipas\json_predial\2012\TAMPS_PREDIAL_2012_san_fernando.json
tampico,2012,cambio_esquema_mixto_a_progresivo_desde_2011,data\tamaulipas\json_predial\2012\TAMPS_PREDIAL_2012_tampico.json
tampico,2012,tipo_progresivo_con_tabla_tarifa_no_vacia,data\tamaulipas\json_predial\2012\TAMPS_PREDIAL_2012_tampico.json
altamira,2013,cambio_brusco_n_filas_1_a_10,data\tamaulipas\json_predial\2013\TAMPS_PREDIAL_2013_altamira.json
altamira,2013,cambio_esquema_mixto_a_progresivo_desde_2012,data\tamaulipas\json_predial\2013\TAMPS_PREDIAL_2013_altamira.json
altamira,2013,tipo_progresivo_con_tabla_tarifa_no_vacia,data\tamaulipas\json_predial\2013\TAMPS_PREDIAL_2013_altamira.json
tampico,2013,cambio_esquema_progresivo_a_mixto_desde_2012,data\tamaulipas\json_predial\2013\TAMPS_PREDIAL_2013_tampico.json
victoria,2013,cambio_brusco_n_filas_10_a_1,data\tamaulipas\json_predial\2013\TAMPS_PREDIAL_2013_victoria.json
altamira,2014,tipo_progresivo_con_tabla_tarifa_no_vacia,data\tamaulipas\json_predial\2014\TAMPS_PREDIAL_2014_altamira.json
burgos,2014,cambio_brusco_n_filas_2_a_5,data\tamaulipas\json_predial\2014\TAMPS_PREDIAL_2014_burgos.json
cruillas,2014,cambio_esquema_tasa_unica_a_tarifa_millar_desde_2013,data\tamaulipas\json_predial\2014\TAMPS_PREDIAL_2014_cruillas.json
guerrero,2014,cambio_esquema_tarifa_millar_a_tasa_unica_desde_2013,data\tamaulipas\json_predial\2014\TAMPS_PREDIAL_2014_guerrero.json
jimenez,2014,cambio_brusco_n_filas_2_a_5,data\tamaulipas\json_predial\2014\TAMPS_PREDIAL_2014_jimenez.json
nuevo_morelos,2014,cambio_brusco_n_filas_2_a_5,data\tamaulipas\json_predial\2014\TAMPS_PREDIAL_2014_nuevo_morelos.json
san_fernando,2014,cambio_brusco_n_filas_2_a_5,data\tamaulipas\json_predial\2014\TAMPS_PREDIAL_2014_san_fernando.json
victoria,2014,cambio_brusco_n_filas_1_a_10,data\tamaulipas\json_predial\2014\TAMPS_PREDIAL_2014_victoria.json
villagran,2014,cambio_brusco_n_filas_2_a_5,data\tamaulipas\json_predial\2014\TAMPS_PREDIAL_2014_villagran.json
altamira,2015,cambio_esquema_progresivo_a_mixto_desde_2014,data\tamaulipas\json_predial\2015\TAMPS_PREDIAL_2015_altamira.json
guerrero,2015,cambio_esquema_tasa_unica_a_tarifa_millar_desde_2014,data\tamaulipas\json_predial\2015\TAMPS_PREDIAL_2015_guerrero.json
tampico,2015,cambio_esquema_mixto_a_progresivo_desde_2014,data\tamaulipas\json_predial\2015\TAMPS_PREDIAL_2015_tampico.json
tampico,2015,tipo_progresivo_con_tabla_tarifa_no_vacia,data\tamaulipas\json_predial\2015\TAMPS_PREDIAL_2015_tampico.json
victoria,2015,cambio_esquema_mixto_a_progresivo_desde_2014,data\tamaulipas\json_predial\2015\TAMPS_PREDIAL_2015_victoria.json
victoria,2015,tipo_progresivo_con_tabla_tarifa_no_vacia,data\tamaulipas\json_predial\2015\TAMPS_PREDIAL_2015_victoria.json
cruillas,2016,cambio_esquema_tarifa_millar_a_tasa_unica_desde_2015,data\tamaulipas\json_predial\2016\TAMPS_PREDIAL_2016_cruillas.json
tampico,2016,tipo_progresivo_con_tabla_tarifa_no_vacia,data\tamaulipas\json_predial\2016\TAMPS_PREDIAL_2016_tampico.json
victoria,2016,tipo_progresivo_con_tabla_tarifa_no_vacia,data\tamaulipas\json_predial\2016\TAMPS_PREDIAL_2016_victoria.json
altamira,2017,cambio_brusco_n_filas_10_a_1,data\tamaulipas\json_predial\2017\TAMPS_PREDIAL_2017_altamira.json
cruillas,2017,cambio_esquema_tasa_unica_a_tarifa_millar_desde_2016,data\tamaulipas\json_predial\2017\TAMPS_PREDIAL_2017_cruillas.json
miguel_aleman,2017,cambio_esquema_tarifa_millar_a_tasa_unica_desde_2016,data\tamaulipas\json_predial\2017\TAMPS_PREDIAL_2017_miguel_aleman.json
tampico,2017,cambio_brusco_n_filas_11_a_1,data\tamaulipas\json_predial\2017\TAMPS_PREDIAL_2017_tampico.json
tampico,2017,cambio_esquema_progresivo_a_mixto_desde_2016,data\tamaulipas\json_predial\2017\TAMPS_PREDIAL_2017_tampico.json
valle_hermoso,2017,cambio_brusco_n_filas_1_a_11,data\tamaulipas\json_predial\2017\TAMPS_PREDIAL_2017_valle_hermoso.json
valle_hermoso,2017,cambio_esquema_mixto_a_progresivo_desde_2016,data\tamaulipas\json_predial\2017\TAMPS_PREDIAL_2017_valle_hermoso.json
valle_hermoso,2017,prog_row3_superior_null_no_ultimo,data\tamaulipas\json_predial\2017\TAMPS_PREDIAL_2017_valle_hermoso.json
valle_hermoso,2017,prog_row4_hueco_con_anterior,data\tamaulipas\json_predial\2017\TAMPS_PREDIAL_2017_valle_hermoso.json
valle_hermoso,2017,tipo_progresivo_con_tabla_tarifa_no_vacia,data\tamaulipas\json_predial\2017\TAMPS_PREDIAL_2017_valle_hermoso.json
victoria,2017,cambio_esquema_progresivo_a_mixto_desde_2016,data\tamaulipas\json_predial\2017\TAMPS_PREDIAL_2017_victoria.json
altamira,2018,cambio_brusco_n_filas_1_a_10,data\tamaulipas\json_predial\2018\TAMPS_PREDIAL_2018_altamira.json
gonzalez,2018,cambio_brusco_n_filas_3_a_1,data\tamaulipas\json_predial\2018\TAMPS_PREDIAL_2018_gonzalez.json
miguel_aleman,2018,cambio_esquema_tasa_unica_a_tarifa_millar_desde_2017,data\tamaulipas\json_predial\2018\TAMPS_PREDIAL_2018_miguel_aleman.json
tampico,2018,cambio_brusco_n_filas_1_a_11,data\tamaulipas\json_predial\2018\TAMPS_PREDIAL_2018_tampico.json
victoria,2018,cambio_brusco_n_filas_10_a_1,data\tamaulipas\json_predial\2018\TAMPS_PREDIAL_2018_victoria.json
altamira,2019,cambio_brusco_n_filas_10_a_1,data\tamaulipas\json_predial\2019\TAMPS_PREDIAL_2019_altamira.json
bustamante,2019,cambio_esquema_tarifa_millar_a_tasa_unica_desde_2018,data\tamaulipas\json_predial\2019\TAMPS_PREDIAL_2019_bustamante.json
gonzalez,2019,cambio_brusco_n_filas_1_a_4,data\tamaulipas\json_predial\2019\TAMPS_PREDIAL_2019_gonzalez.json
guerrero,2019,cambio_esquema_tarifa_millar_a_tasa_unica_desde_2018,data\tamaulipas\json_predial\2019\TAMPS_PREDIAL_2019_guerrero.json
tampico,2019,cambio_brusco_n_filas_11_a_1,data\tamaulipas\json_predial\2019\TAMPS_PREDIAL_2019_tampico.json
valle_hermoso,2019,tipo_progresivo_con_tabla_tarifa_no_vacia,data\tamaulipas\json_predial\2019\TAMPS_PREDIAL_2019_valle_hermoso.json
valle_hermoso,2019,prog_row3_superior_null_no_ultimo,data\tamaulipas\json_predial\2019\TAMPS_PREDIAL_2019_valle_hermoso.json
valle_hermoso,2019,prog_row4_hueco_con_anterior,data\tamaulipas\json_predial\2019\TAMPS_PREDIAL_2019_valle_hermoso.json
victoria,2019,cambio_brusco_n_filas_1_a_10,data\tamaulipas\json_predial\2019\TAMPS_PREDIAL_2019_victoria.json
victoria,2019,cambio_esquema_mixto_a_progresivo_desde_2018,data\tamaulipas\json_predial\2019\TAMPS_PREDIAL_2019_victoria.json
victoria,2019,tipo_progresivo_con_tabla_tarifa_no_vacia,data\tamaulipas\json_predial\2019\TAMPS_PREDIAL_2019_victoria.json
bustamante,2020,cambio_esquema_tasa_unica_a_tarifa_millar_desde_2019,data\tamaulipas\json_predial\2020\TAMPS_PREDIAL_2020_bustamante.json
cruillas,2020,cambio_esquema_tarifa_millar_a_tasa_unica_desde_2019,data\tamaulipas\json_predial\2020\TAMPS_PREDIAL_2020_cruillas.json
guerrero,2020,cambio_esquema_tasa_unica_a_tarifa_millar_desde_2019,data\tamaulipas\json_predial\2020\TAMPS_PREDIAL_2020_guerrero.json
tampico,2020,cambio_brusco_n_filas_1_a_11,data\tamaulipas\json_predial\2020\TAMPS_PREDIAL_2020_tampico.json
valle_hermoso,2020,cambio_esquema_progresivo_a_mixto_desde_2019,data\tamaulipas\json_predial\2020\TAMPS_PREDIAL_2020_valle_hermoso.json
valle_hermoso,2020,prog_row3_superior_null_no_ultimo,data\tamaulipas\json_predial\2020\TAMPS_PREDIAL_2020_valle_hermoso.json
valle_hermoso,2020,prog_row4_hueco_con_anterior,data\tamaulipas\json_predial\2020\TAMPS_PREDIAL_2020_valle_hermoso.json
victoria,2020,cambio_esquema_progresivo_a_mixto_desde_2019,data\tamaulipas\json_predial\2020\TAMPS_PREDIAL_2020_victoria.json
cruillas,2021,cambio_esquema_tasa_unica_a_tarifa_millar_desde_2020,data\tamaulipas\json_predial\2021\TAMPS_PREDIAL_2021_cruillas.json
gonzalez,2021,cambio_esquema_tarifa_millar_a_tasa_unica_desde_2020,data\tamaulipas\json_predial\2021\TAMPS_PREDIAL_2021_gonzalez.json
guerrero,2021,cambio_esquema_tarifa_millar_a_tasa_unica_desde_2020,data\tamaulipas\json_predial\2021\TAMPS_PREDIAL_2021_guerrero.json
valle_hermoso,2021,cambio_esquema_mixto_a_progresivo_desde_2020,data\tamaulipas\json_predial\2021\TAMPS_PREDIAL_2021_valle_hermoso.json
valle_hermoso,2021,prog_row3_superior_null_no_ultimo,data\tamaulipas\json_predial\2021\TAMPS_PREDIAL_2021_valle_hermoso.json
valle_hermoso,2021,prog_row4_hueco_con_anterior,data\tamaulipas\json_predial\2021\TAMPS_PREDIAL_2021_valle_hermoso.json
valle_hermoso,2021,tipo_progresivo_con_tabla_tarifa_no_vacia,data\tamaulipas\json_predial\2021\TAMPS_PREDIAL_2021_valle_hermoso.json
victoria,2021,cambio_brusco_n_filas_10_a_1,data\tamaulipas\json_predial\2021\TAMPS_PREDIAL_2021_victoria.json
victoria,2021,mixta_row1_columnas_vacias,data\tamaulipas\json_predial\2021\TAMPS_PREDIAL_2021_victoria.json
victoria,2021,mixta_row2_columnas_vacias,data\tamaulipas\json_predial\2021\TAMPS_PREDIAL_2021_victoria.json
victoria,2021,mixta_row3_columnas_vacias,data\tamaulipas\json_predial\2021\TAMPS_PREDIAL_2021_victoria.json
victoria,2021,mixta_row4_columnas_vacias,data\tamaulipas\json_predial\2021\TAMPS_PREDIAL_2021_victoria.json
victoria,2021,mixta_row5_columnas_vacias,data\tamaulipas\json_predial\2021\TAMPS_PREDIAL_2021_victoria.json
victoria,2021,mixta_row6_columnas_vacias,data\tamaulipas\json_predial\2021\TAMPS_PREDIAL_2021_victoria.json
