cvegeo,estado_slug,municipio_slug,municipio_raw,anio,status,source_pdf,ley_page_start,ley_page_end,predial_found,predial_method,predial_page_start,predial_page_end,char_start,char_end,confidence,forced_end,expansion_applied,anchor_text_start,anchor_text_end,next_tax_label,txt_file,txt_chars
28001,tamaulipas,abasolo,ABASOLO,2010,ok,TAMPS_RAW_2010_consolidado.pdf,3,13,True,propiedad_urbana,4,4,-1,-1,0.0,False,False,,,,TAMPS_PREDIAL_2010_abasolo.txt,1090
28004,tamaulipas,antiguo_morelos,"ANTIGUO 
MORELOS",2010,ok,TAMPS_RAW_2010_consolidado.pdf,14,21,True,propiedad_urbana,15,15,-1,-1,0.0,False,False,,,,TAMPS_PREDIAL_2010_antiguo_morelos.txt,1829
28005,tamaulipas,burgos,BURGOS,2010,ok,TAMPS_RAW_2010_consolidado.pdf,22,28,True,propiedad_urbana,23,23,-1,-1,0.0,False,False,,,,TAMPS_PREDIAL_2010_burgos.txt,1075
28006,tamaulipas,bustamante,BUSTAMANTE,2010,ok,TAMPS_RAW_2010_consolidado.pdf,29,38,True,propiedad_urbana,29,30,-1,-1,0.0,False,False,,,,TAMPS_PREDIAL_2010_bustamante.txt,3701
28008,tamaulipas,casas,CASAS,2010,ok,TAMPS_RAW_2010_consolidado.pdf,39,46,True,propiedad_urbana,40,40,-1,-1,0.0,False,False,,,,TAMPS_PREDIAL_2010_casas.txt,1820
28010,tamaulipas,cruillas,CRUILLAS,2010,ok,TAMPS_RAW_2010_consolidado.pdf,47,54,True,propiedad_urbana,48,48,-1,-1,0.0,False,False,,,,TAMPS_PREDIAL_2010_cruillas.txt,1033
28021,tamaulipas,el_mante,EL MANTE,2010,ok,TAMPS_RAW_2010_consolidado.pdf,55,69,True,propiedad_urbana,57,57,-1,-1,0.0,False,False,,,,TAMPS_PREDIAL_2010_el_mante.txt,1093
28011,tamaulipas,gomez_farias,"GOMEZ 
FARIAS",2010,ok,TAMPS_RAW_2010_consolidado.pdf,70,76,True,propiedad_urbana,71,71,-1,-1,0.0,False,False,,,,TAMPS_PREDIAL_2010_gomez_farias.txt,1081
28012,tamaulipas,gonzalez,GONZALEZ,2010,ok,TAMPS_RAW_2010_consolidado.pdf,77,83,True,propiedad_urbana,77,79,-1,-1,0.0,False,False,,,,TAMPS_PREDIAL_2010_gonzalez.txt,5061
28016,tamaulipas,hidalgo,HIDALGO,2010,ok,TAMPS_RAW_2010_consolidado.pdf,84,94,True,propiedad_urbana,84,86,-1,-1,0.0,False,False,,,,TAMPS_PREDIAL_2010_hidalgo.txt,4264
28017,tamaulipas,jaumave,JAUMAVE,2010,ok,TAMPS_RAW_2010_consolidado.pdf,95,102,True,propiedad_urbana,96,96,-1,-1,0.0,False,False,,,,TAMPS_PREDIAL_2010_jaumave.txt,1114
