ejercicio,municipio,slug,cve_mun,in_segment,segment_method,txt_chars,status
2010,Abasolo,abasolo,001,true,propiedad_urbana,1090,ok
2011,Abasolo,abasolo,001,true,propiedad_urbana,1091,ok
2012,Abasolo,abasolo,001,true,propiedad_urbana,1088,ok
2013,Abasolo,abasolo,001,true,propiedad_urbana,1231,ok
2014,Abasolo,abasolo,001,true,propiedad_urbana,2108,ok
2015,Abasolo,abasolo,001,true,propiedad_urbana,1962,ok
2016,Abasolo,abasolo,001,true,propiedad_urbana,2085,ok
2017,Abasolo,abasolo,001,true,propiedad_urbana,1894,ok
2018,Abasolo,abasolo,001,true,propiedad_urbana,1868,ok
2019,Abasolo,abasolo,001,true,propiedad_urbana,1874,ok
2020,Abasolo,abasolo,001,true,propiedad_urbana,1954,ok
2021,Abasolo,abasolo,001,true,propiedad_urbana,2129,ok
2022,Abasolo,abasolo,001,true,propiedad_urbana,1843,ok
2023,Abasolo,abasolo,001,true,propiedad_urbana,2153,ok
2024,Abasolo,abasolo,001,true,propiedad_urbana,1867,ok
2025,Abasolo,abasolo,001,true,propiedad_urbana,1869,ok
2010,Aldama,aldama,002,true,propiedad_urbana,279,ok
2011,Aldama,aldama,002,true,propiedad_urbana,276,ok
2012,Aldama,aldama,002,true,propiedad_urbana,279,ok
2013,Aldama,aldama,002,true,propiedad_urbana,2302,ok
2014,Aldama,aldama,002,true,propiedad_urbana,1822,ok
2015,Aldama,aldama,002,true,propiedad_urbana,1811,ok
2016,Aldama,aldama,002,true,propiedad_urbana,1953,ok
2017,Aldama,aldama,002,true,propiedad_urbana,1934,ok
2018,Aldama,aldama,002,true,propiedad_urbana,1942,ok
2019,Aldama,aldama,002,true,propiedad_urbana,1959,ok
2020,Aldama,aldama,002,true,propiedad_urbana,1802,ok
2021,Aldama,aldama,002,true,propiedad_urbana,1818,ok
2022,Aldama,aldama,002,true,propiedad_urbana,1801,ok
2023,Aldama,aldama,002,true,propiedad_urbana,1818,ok
2024,Aldama,aldama,002,true,propiedad_urbana,2119,ok
2025,Aldama,aldama,002,true,propiedad_urbana,1937,ok
2010,Altamira,altamira,003,true,propiedad_urbana,278,ok
2011,Altamira,altamira,003,true,propiedad_urbana,278,ok
2012,Altamira,altamira,003,true,propiedad_urbana,278,ok
2013,Altamira,altamira,003,true,propiedad_urbana,4121,ok
2014,Altamira,altamira,003,true,propiedad_urbana,4604,ok
2015,Altamira,altamira,003,true,propiedad_urbana,4643,ok
2016,Altamira,altamira,003,true,propiedad_urbana,4647,ok
2017,Altamira,altamira,003,true,propiedad_urbana,4584,ok
2018,Altamira,altamira,003,true,propiedad_urbana,4599,ok
2019,Altamira,altamira,003,true,propiedad_urbana,4627,ok
2020,Altamira,altamira,003,true,propiedad_urbana,4597,ok
2021,Altamira,altamira,003,true,propiedad_urbana,4786,ok
2022,Altamira,altamira,003,true,propiedad_urbana,4713,ok
2023,Altamira,altamira,003,true,propiedad_urbana,4768,ok
2024,Altamira,altamira,003,true,propiedad_urbana,4611,ok
2025,Altamira,altamira,003,true,propiedad_urbana,4577,ok
2010,Antiguo Morelos,antiguo_morelos,004,true,propiedad_urbana,1829,ok
2011,Antiguo Morelos,antiguo_morelos,004,true,propiedad_urbana,1828,ok
2012,Antiguo Morelos,antiguo_morelos,004,true,propiedad_urbana,283,ok
2013,Antiguo Morelos,antiguo_morelos,004,true,propiedad_urbana,1954,ok
2014,Antiguo Morelos,antiguo_morelos,004,true,propiedad_urbana,1988,ok
2015,Antiguo Morelos,antiguo_morelos,004,true,propiedad_urbana,1837,ok
2016,Antiguo Morelos,antiguo_morelos,004,true,propiedad_urbana,1840,ok
2017,Antiguo Morelos,antiguo_morelos,004,true,propiedad_urbana,1896,ok
2018,Antiguo Morelos,antiguo_morelos,004,true,propiedad_urbana,1911,ok
2019,Antiguo Morelos,antiguo_morelos,004,true,propiedad_urbana,1881,ok
2020,Antiguo Morelos,antiguo_morelos,004,true,propiedad_urbana,1869,ok
