municipio_slug,municipio_nombre,anio,tipo_esquema,esquema_valido,n_tarifa_rows,n_prog_rows,n_tasa_unica_rows,n_cuota_fija_rows,n_mixta_rows,anomalias,json_path
abasolo,Abasolo,2010,tarifa_millar,True,4,0,0,0,0,,data\tamaulipas\json_predial\2010\TAMPS_PREDIAL_2010_abasolo.json
abasolo,Abasolo,2011,tarifa_millar,True,4,0,0,0,0,,data\tamaulipas\json_predial\2011\TAMPS_PREDIAL_2011_abasolo.json
abasolo,Abasolo,2012,tarifa_millar,True,4,0,0,0,0,,data\tamaulipas\json_predial\2012\TAMPS_PREDIAL_2012_abasolo.json
abasolo,Abasolo,2013,tarifa_millar,True,4,0,0,0,0,,data\tamaulipas\json_predial\2013\TAMPS_PREDIAL_2013_abasolo.json
abasolo,Abasolo,2014,tarifa_millar,True,4,0,0,0,0,,data\tamaulipas\json_predial\2014\TAMPS_PREDIAL_2014_abasolo.json
abasolo,Abasolo,2015,tarifa_millar,True,4,0,0,0,0,,data\tamaulipas\json_predial\2015\TAMPS_PREDIAL_2015_abasolo.json
abasolo,Abasolo,2016,tarifa_millar,True,4,0,0,0,0,,data\tamaulipas\json_predial\2016\TAMPS_PREDIAL_2016_abasolo.json
abasolo,Abasolo,2017,tarifa_millar,True,4,0,0,0,0,,data\tamaulipas\json_predial\2017\TAMPS_PREDIAL_2017_abasolo.json
abasolo,Abasolo,2018,tarifa_millar,True,4,0,0,0,0,,data\tamaulipas\json_predial\2018\TAMPS_PREDIAL_2018_abasolo.json
abasolo,Abasolo,2019,tarifa_millar,True,4,0,0,0,0,,data\tamaulipas\json_predial\2019\TAMPS_PREDIAL_2019_abasolo.json
abasolo,Abasolo,2020,tarifa_millar,True,4,0,0,0,0,,data\tamaulipas\json_predial\2020\TAMPS_PREDIAL_2020_abasolo.json
abasolo,Abasolo,2021,tarifa_millar,True,4,0,0,0,0,,data\tamaulipas\json_predial\2021\TAMPS_PREDIAL_2021_abasolo.json
abasolo,Abasolo,2022,tarifa_millar,True,4,0,0,0,0,,data\tamaulipas\json_predial\2022\TAMPS_PREDIAL_2022_abasolo.json
abasolo,Abasolo,2023,tarifa_millar,True,4,0,0,0,0,,data\tamaulipas\json_predial\2023\TAMPS_PREDIAL_2023_abasolo.json
abasolo,Abasolo,2024,tarifa_millar,True,4,0,0,0,0,,data\tamaulipas\json_predial\2024\TAMPS_PREDIAL_2024_abasolo.json
abasolo,Abasolo,2025,tarifa_millar,True,4,0,0,0,0,,data\tamaulipas\json_predial\2025\TAMPS_PREDIAL_2025_abasolo.json
