ejercicio,slug,cve_mun,source_pdf,focus_file,tipo_esquema,esquema_valido,fuente,segment_method,error_class,error_detail,issues,auditado,notas,paginas_pdf,pdf_override
2010,abasolo,001,TAMPS_RAW_2010_consolidado.pdf,data\tamaulipas\focus_predial\2010\TAMPS_PREDIAL_2010_abasolo.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2011,abasolo,001,TAMPS_RAW_2011_consolidado.pdf,data\tamaulipas\focus_predial\2011\TAMPS_PREDIAL_2011_abasolo.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2012,abasolo,001,TAMPS_RAW_2012_consolidado.pdf,data\tamaulipas\focus_predial\2012\TAMPS_PREDIAL_2012_abasolo.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2013,abasolo,001,TAMPS_RAW_2013_consolidado.pdf,data\tamaulipas\focus_predial\2013\TAMPS_PREDIAL_2013_abasolo.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2014,abasolo,001,TAMPS_RAW_2014_consolidado.pdf,data\tamaulipas\focus_predial\2014\TAMPS_PREDIAL_2014_abasolo.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2015,abasolo,001,TAMPS_RAW_2015_consolidado.pdf,data\tamaulipas\focus_predial\2015\TAMPS_PREDIAL_2015_abasolo.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2016,abasolo,001,TAMPS_RAW_2016_consolidado.pdf,data\tamaulipas\focus_predial\2016\TAMPS_PREDIAL_2016_abasolo.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2017,abasolo,001,TAMPS_RAW_2017_consolidado.pdf,data\tamaulipas\focus_predial\2017\TAMPS_PREDIAL_2017_abasolo.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2018,abasolo,001,TAMPS_RAW_2018_consolidado.pdf,data\tamaulipas\focus_predial\2018\TAMPS_PREDIAL_2018_abasolo.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2019,abasolo,001,TAMPS_RAW_2019_consolidado.pdf,data\tamaulipas\focus_predial\2019\TAMPS_PREDIAL_2019_abasolo.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2020,abasolo,001,TAMPS_RAW_2020_consolidado.pdf,data\tamaulipas\focus_predial\2020\TAMPS_PREDIAL_2020_abasolo.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2021,abasolo,001,TAMPS_RAW_2021_consolidado.pdf,data\tamaulipas\focus_predial\2021\TAMPS_PREDIAL_2021_abasolo.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2022,abasolo,001,TAMPS_RAW_2022_consolidado.pdf,data\tamaulipas\focus_predial\2022\TAMPS_PREDIAL_2022_abasolo.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2023,abasolo,001,TAMPS_RAW_2023_consolidado.pdf,data\tamaulipas\focus_predial\2023\TAMPS_PREDIAL_2023_abasolo.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2024,abasolo,001,TAMPS_RAW_2024_consolidado.pdf,data\tamaulipas\focus_predial\2024\TAMPS_PREDIAL_2024_abasolo.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2025,abasolo,001,TAMPS_RAW_2025_consolidado.pdf,data\tamaulipas\focus_predial\2025\TAMPS_PREDIAL_2025_abasolo.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2010,aldama,002,TAMPS_RAW_2010_consolidado.pdf,data\tamaulipas\focus_predial\2010\TAMPS_PREDIAL_2010_aldama.txt,tarifa_millar,True,txt_extendido,propiedad_urbana,none,,,ok,,,
2011,aldama,002,TAMPS_RAW_2011_consolidado.pdf,data\tamaulipas\focus_predial\2011\TAMPS_PREDIAL_2011_aldama.txt,tarifa_millar,True,txt_extendido,propiedad_urbana,none,,,ok,,,
2012,aldama,002,TAMPS_RAW_2012_consolidado.pdf,data\tamaulipas\focus_predial\2012\TAMPS_PREDIAL_2012_aldama.txt,tarifa_millar,True,txt_extendido,propiedad_urbana,none,,,ok,,,
2013,aldama,002,TAMPS_RAW_2013_consolidado.pdf,data\tamaulipas\focus_predial\2013\TAMPS_PREDIAL_2013_aldama.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2014,aldama,002,TAMPS_RAW_2014_consolidado.pdf,data\tamaulipas\focus_predial\2014\TAMPS_PREDIAL_2014_aldama.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2015,aldama,002,TAMPS_RAW_2015_consolidado.pdf,data\tamaulipas\focus_predial\2015\TAMPS_PREDIAL_2015_aldama.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2016,aldama,002,TAMPS_RAW_2016_consolidado.pdf,data\tamaulipas\focus_predial\2016\TAMPS_PREDIAL_2016_aldama.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2017,aldama,002,TAMPS_RAW_2017_consolidado.pdf,data\tamaulipas\focus_predial\2017\TAMPS_PREDIAL_2017_aldama.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2018,aldama,002,TAMPS_RAW_2018_consolidado.pdf,data\tamaulipas\focus_predial\2018\TAMPS_PREDIAL_2018_aldama.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
2019,aldama,002,TAMPS_RAW_2019_consolidado.pdf,data\tamaulipas\focus_predial\2019\TAMPS_PREDIAL_2019_aldama.txt,tarifa_millar,True,txt,propiedad_urbana,none,,,ok,,,
