municipio,anio,anomalia,json_path
abala,2010,tipo_progresivo_con_tabla_tarifa_no_vacia,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_abala.json
akil,2010,tipo_progresivo_con_tabla_tarifa_no_vacia,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_akil.json
baca,2010,tasa_unica_row1_unidad_no_reconocida,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_baca.json
bokoba,2010,mixta_row1_columnas_vacias,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_bokoba.json
bokoba,2010,mixta_row2_columnas_vacias,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_bokoba.json
bokoba,2010,mixta_row3_columnas_vacias,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_bokoba.json
bokoba,2010,mixta_row4_columnas_vacias,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_bokoba.json
bokoba,2010,mixta_row5_columnas_vacias,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_bokoba.json
bokoba,2010,mixta_row6_columnas_vacias,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_bokoba.json
bokoba,2010,mixta_row7_columnas_vacias,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_bokoba.json
buctzotz,2010,prog_row2_hueco_con_anterior,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_buctzotz.json
buctzotz,2010,prog_row3_hueco_con_anterior,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_buctzotz.json
buctzotz,2010,prog_row4_hueco_con_anterior,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_buctzotz.json
buctzotz,2010,prog_row5_hueco_con_anterior,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_buctzotz.json
buctzotz,2010,prog_row6_hueco_con_anterior,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_buctzotz.json
cacalchen,2010,tipo_progresivo_con_tabla_tarifa_no_vacia,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_cacalchen.json
cansahcab,2010,prog_row2_hueco_con_anterior,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_cansahcab.json
cansahcab,2010,prog_row3_hueco_con_anterior,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_cansahcab.json
cansahcab,2010,prog_row4_hueco_con_anterior,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_cansahcab.json
cansahcab,2010,prog_row5_hueco_con_anterior,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_cansahcab.json
cansahcab,2010,prog_row6_hueco_con_anterior,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_cansahcab.json
cansahcab,2010,mixta_row1_columnas_vacias,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_cansahcab.json
cansahcab,2010,mixta_row2_columnas_vacias,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_cansahcab.json
