municipio,n_years,years_present,n_missing,years_missing
abala,15,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2022;2023;2024;2025,1,2021
acanceh,14,2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025,2,2010;2016
akil,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
baca,15,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,2016
bokoba,14,2010;2011;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025,2,2012;2016
buctzotz,15,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,2016
cacalchen,15,2010;2011;2012;2013;2014;2015;2016;2017;2018;2020;2021;2022;2023;2024;2025,1,2019
calotmul,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
cansahcab,14,2010;2011;2012;2013;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,2,2014;2025
cantamayec,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
celestun,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
cenotillo,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
chacsinkin,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
chankom,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
chapab,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
chemax,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
chichimila,14,2010;2011;2012;2013;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025,2,2014;2016
chicxulub_pueblo,13,2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024,3,2010;2016;2025
chikindzonot,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
chochola,3,2023;2024;2025,13,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
chumayel,15,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,2016
conkal,12,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021,4,2022;2023;2024;2025
cuncunul,15,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2022;2023;2024;2025,1,2021
cuzama,14,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2023;2024;2025,2,2021;2022
dzan,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
dzemul,15,2010;2011;2012;2013;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,2014
dzidzantun,4,2010;2011;2012;2013,12,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
dzilam_de_bravo,11,2010;2011;2012;2013;2014;2015;2016;2022;2023;2024;2025,5,2017;2018;2019;2020;2021
dzilam_gonzalez,15,2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,2010
dzitas,15,2010;2011;2012;2013;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,2014
dzocauich,1,2017,15,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025
dzoncauich,15,2010;2011;2012;2013;2014;2015;2016;2018;2019;2020;2021;2022;2023;2024;2025,1,2017
espita,15,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,2016
halacho,13,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2022;2024;2025,3,2016;2021;2023
hocaba,2,2012;2013,14,2010;2011;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
hoctun,12,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2023;2024,4,2016;2021;2022;2025
homun,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
huhi,15,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,2016
hunucma,8,2010;2011;2012;2013;2014;2015;2024;2025,8,2016;2017;2018;2019;2020;2021;2022;2023
ixil,14,2010;2011;2012;2013;2014;2015;2017;2018;2020;2021;2022;2023;2024;2025,2,2016;2019
izamal,10,2010;2011;2012;2013;2014;2015;2016;2019;2020;2021,6,2017;2018;2022;2023;2024;2025
kanasin,11,2010;2011;2012;2013;2014;2015;2017;2018;2019;2020;2021,5,2016;2022;2023;2024;2025
kantunil,16,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,
