index_year,pub_year,ymd,suffix,url,local_path,municipios_count,municipios
2010,2010,2010-12-15,,https://www.yucatan.gob.mx/docs/diario_oficial/diarios/2010/2010-12-15.pdf,data\yucatan\pdf_raw\2010\2010-12-15.pdf,0,
2010,2010,2010-12-16,,https://www.yucatan.gob.mx/docs/diario_oficial/diarios/2010/2010-12-16.pdf,data\yucatan\pdf_raw\2010\2010-12-16.pdf,0,
2010,2010,2010-12-22,,https://www.yucatan.gob.mx/docs/diario_oficial/diarios/2010/2010-12-22.pdf,data\yucatan\pdf_raw\2010\2010-12-22.pdf,2,MÉRIDA;Mérida
2010,2010,2010-12-24,,https://www.yucatan.gob.mx/docs/diario_oficial/diarios/2010/2010-12-24.pdf,data\yucatan\pdf_raw\2010\2010-12-24.pdf,0,
2010,2010,2010-12-27,,https://www.yucatan.gob.mx/docs/diario_oficial/diarios/2010/2010-12-27.pdf,data\yucatan\pdf_raw\2010\2010-12-27.pdf,5,Halachó;Halachó y el costo;Halachó.;Peto;Peto.
2010,2010,2010-12-29,,https://www.yucatan.gob.mx/docs/diario_oficial/diarios/2010/2010-12-29.pdf,data\yucatan\pdf_raw\2010\2010-12-29.pdf,0,
2011,2011,2011-12-23,,https://www.yucatan.gob.mx/docs/diario_oficial/diarios/2011/2011-12-23.pdf,data\yucatan\pdf_raw\2011\2011-12-23.pdf,2,MÉRIDA;Mérida
2011,2011,2011-12-28,,https://www.yucatan.gob.mx/docs/diario_oficial/diarios/2011/2011-12-28.pdf,data\yucatan\pdf_raw\2011\2011-12-28.pdf,1,Chocholá
2011,2011,2011-12-29,,https://www.yucatan.gob.mx/docs/diario_oficial/diarios/2011/2011-12-29.pdf,data\yucatan\pdf_raw\2011\2011-12-29.pdf,0,
2012,2012,2012-12-24,,https://www.yucatan.gob.mx/docs/diario_oficial/diarios/2012/2012-12-24.pdf,data\yucatan\pdf_raw\2012\2012-12-24.pdf,0,
2012,2012,2012-12-27,,https://www.yucatan.gob.mx/docs/diario_oficial/diarios/2012/2012-12-27.pdf,data\yucatan\pdf_raw\2012\2012-12-27.pdf,0,
2012,2012,2012-12-28,,https://www.yucatan.gob.mx/docs/diario_oficial/diarios/2012/2012-12-28.pdf,data\yucatan\pdf_raw\2012\2012-12-28.pdf,2,MÉRIDA;Mérida
2013,2013,2013-12-23,_1,https://www.yucatan.gob.mx/docs/diario_oficial/diarios/2013/2013-12-23_1.pdf,data\yucatan\pdf_raw\2013\2013-12-23_1.pdf,1,MÉRIDA
2013,2013,2013-12-23,_2,https://www.yucatan.gob.mx/docs/diario_oficial/diarios/2013/2013-12-23_2.pdf,data\yucatan\pdf_raw\2013\2013-12-23_2.pdf,3,MÉRIDA;Mérida;Mérida que se propone
2013,2013,2013-12-27,_2,https://www.yucatan.gob.mx/docs/diario_oficial/diarios/2013/2013-12-27_2.pdf,data\yucatan\pdf_raw\2013\2013-12-27_2.pdf,11,Hunucmá;Hunucmá.;Progreso;Sinanché;Tahmek;Tahmek.;Tekax;Tekax.;Telchac;Telchac Puerto;Valladolid
2013,2013,2013-12-31,_1,https://www.yucatan.gob.mx/docs/diario_oficial/diarios/2013/2013-12-31_1.pdf,data\yucatan\pdf_raw\2013\2013-12-31_1.pdf,0,
2013,2013,2013-12-31,_2,https://www.yucatan.gob.mx/docs/diario_oficial/diarios/2013/2013-12-31_2.pdf,data\yucatan\pdf_raw\2013\2013-12-31_2.pdf,50,ABALÁ;AKIL;BACA;BOKOBÁ;CACALCHÉN;CALOTMUL;CANSAHCAB;CANTAMAYEC;CELESTÚN;CENOTILLO;CHACSINKÍN;CHANKOM;CHAPAB;CHEMAX;CHICHIMILÁ;CHICXULUB PUEBLO;CHIKINDZONOT;CHOCHOLÁ;CONKAL;CUZAMÁ;DZAN;DZIDZANTÚN;DZILAM DE BRAVO;DZILAM GONZÁLEZ;DZITÁS;DZONCAUICH;HOMÚN;IZAMAL;KANTUNIL;KINCHIL;MAYAPÁN;MOCOCHÁ;MOTUL;OPICHÉN;PANABÁ;QUINTANA ROO;SAMAHIL;SAN FELIPE;SANAHCAT;SOTUTA;SUMA DE HIDALGO;TAHDZIÚ;TEABO;TEKANTÓ;TEKIT;TEKOM;TELCHAC PUEBLO;TELCHAC PUERTO;TEYA;TIXCACALCUPUL
