municipio,ejercicio,file,predial_chars,predial_tipo,status
Abalá,2010,2009\2009-12-28_suplemento.pdf,4378,capitulo_i,ok
Akil,2010,2009\2009-12-28_suplemento.pdf,3728,capitulo_i,ok
Baca,2010,2009\2009-12-28_suplemento.pdf,2570,capitulo_i,ok
Bokobá,2010,2009\2009-12-28_suplemento.pdf,2848,capitulo_i,ok
Buctzotz,2010,2009\2009-12-28_suplemento.pdf,3287,seccion_primera,ok
Cacalchén,2010,2009\2009-12-28_suplemento.pdf,3945,capitulo_i,ok
Calotmul,2010,2009\2009-12-28_suplemento.pdf,7483,seccion_primera,ok
Cansahcab,2010,2009\2009-12-28_suplemento.pdf,1963,seccion_primera,ok
Cantamayec,2010,2009\2009-12-28_suplemento.pdf,1791,capitulo_i,ok
Celestún,2010,2009\2009-12-28_suplemento.pdf,3602,capitulo_i,ok
Cenotillo,2010,2009\2009-12-28_suplemento.pdf,2243,capitulo_i,ok
Conkal,2010,2009\2009-12-28_suplemento.pdf,3482,seccion_primera,ok
Cuzamá,2010,2009\2009-12-28_suplemento.pdf,1702,capitulo_i,ok
Cuncunul,2010,2009\2009-12-28_suplemento.pdf,2091,capitulo_i,ok
Chacsinkín,2010,2009\2009-12-28_suplemento.pdf,4852,capitulo_i,ok
Chankom,2010,2009\2009-12-28_suplemento.pdf,2161,capitulo_i,ok
Chapab,2010,2009\2009-12-28_suplemento.pdf,2727,capitulo_i,ok
Chichimilá,2010,2009\2009-12-28_suplemento.pdf,3552,seccion_primera,ok
Chicxulub Pueblo,2010,2009\2009-12-28_suplemento.pdf,0,none,no_predial_found
Chikindzonot,2010,2009\2009-12-28_suplemento.pdf,3111,capitulo_i,ok
Chocholá,2010,2009\2009-12-28_suplemento.pdf,0,none,no_predial_found
Chumayel,2010,2009\2009-12-28_suplemento.pdf,1223,capitulo_i,ok
Dzan,2010,2009\2009-12-28_suplemento.pdf,3014,capitulo_i,ok
Dzemul,2010,2009\2009-12-28_suplemento.pdf,3520,capitulo_i,ok
Dzidzantún,2010,2009\2009-12-28_suplemento.pdf,3077,capitulo_i,ok
Dzilam de Bravo,2010,2009\2009-12-28_suplemento.pdf,926,capitulo_i,ok
Dzitás,2010,2009\2009-12-28_suplemento.pdf,3550,capitulo_i,ok
Dzoncauich,2010,2009\2009-12-28_suplemento.pdf,3023,capitulo_i,ok
Hocabá,2010,2009\2009-12-28_suplemento.pdf,0,none,no_predial_found
Hoctún,2010,2009\2009-12-28_suplemento.pdf,3890,capitulo_i,ok
Homún,2010,2009\2009-12-28_suplemento.pdf,1608,capitulo_i,ok
Huhí,2010,2009\2009-12-28_suplemento.pdf,1302,capitulo_i,ok
Ixil,2010,2009\2009-12-28_suplemento.pdf,3394,capitulo_i,ok
Kantunil,2010,2009\2009-12-28_suplemento.pdf,3323,capitulo_i,ok
Kaua,2010,2009\2009-12-28_suplemento.pdf,2772,capitulo_i,ok
Kinchil,2010,2009\2009-12-28_suplemento.pdf,1583,capitulo_i,ok
Kopomá,2010,2009\2009-12-28_suplemento.pdf,1686,capitulo_i,ok
Mama,2010,2009\2009-12-28_suplemento.pdf,1808,capitulo_i,ok
Maní,2010,2009\2009-12-28_suplemento.pdf,2198,capitulo_i,ok
Mayapán,2010,2009\2009-12-28_suplemento.pdf,3529,seccion_primera,ok
Mocochá,2010,2009\2009-12-28_suplemento.pdf,4357,capitulo_i,ok
Muna,2010,2009\2009-12-28_suplemento.pdf,0,none,no_predial_found
Muxupip,2010,2009\2009-12-28_suplemento.pdf,1561,capitulo_i,ok
Opichén,2010,2009\2009-12-28_suplemento.pdf,1438,capitulo_i,ok
Panabá,2010,2009\2009-12-28_suplemento.pdf,4034,capitulo_i,ok
Quintana Roo,2010,2009\2009-12-28_suplemento.pdf,1293,capitulo_i,ok
Río Lagartos,2010,2009\2009-12-28_suplemento.pdf,2459,capitulo_i,ok
Sacalum,2010,2009\2009-12-28_suplemento.pdf,0,none,no_predial_found
Samahil,2010,2009\2009-12-28_suplemento.pdf,3998,capitulo_i,ok
Sanahcat,2010,2009\2009-12-28_suplemento.pdf,650,capitulo_i,ok
San Felipe,2010,2009\2009-12-28_suplemento.pdf,2571,capitulo_i,ok
Acanceh,2010,2009\2009-12-29_suplemento.pdf,0,none,no_predial_found
Chemax,2010,2009\2009-12-29_suplemento.pdf,3374,capitulo_i,ok
Espita,2010,2009\2009-12-29_suplemento.pdf,2674,capitulo_i,ok
Halachó,2010,2009\2009-12-29_suplemento.pdf,2498,capitulo_i,ok
Hunucmá,2010,2009\2009-12-29_suplemento.pdf,16110,capitulo_i,ok
Izamal,2010,2009\2009-12-29_suplemento.pdf,5432,capitulo_i,ok
Kanasín,2010,2009\2009-12-29_suplemento.pdf,3253,seccion_primera,ok
Maxcanú,2010,2009\2009-12-29_suplemento.pdf,5573,capitulo_i,ok
Motul,2010,2009\2009-12-29_suplemento.pdf,0,none,no_predial_found
Oxkutzcab,2010,2009\2009-12-29_suplemento.pdf,4105,seccion_primera,ok
Peto,2010,2009\2009-12-29_suplemento.pdf,589,capitulo_i,ok
Progreso,2010,2009\2009-12-29_suplemento.pdf,3381,capitulo_i,ok
Santa Elena,2010,2009\2009-12-29_suplemento.pdf,4007,capitulo_i,ok
Seyé,2010,2009\2009-12-29_suplemento.pdf,944,capitulo_i,ok
Sinanché,2010,2009\2009-12-29_suplemento.pdf,5921,capitulo_i,ok
Sotuta,2010,2009\2009-12-29_suplemento.pdf,0,none,no_predial_found
Sucilá,2010,2009\2009-12-29_suplemento.pdf,3647,capitulo_i,ok
Sudzal,2010,2009\2009-12-29_suplemento.pdf,1551,capitulo_i,ok
Suma de Hidalgo,2010,2009\2009-12-29_suplemento.pdf,1708,capitulo_i,ok
