ejercicio,municipio,slug,cve_mun,in_segment,segment_method,txt_chars,status
2010,Abala,abala,001,true,capitulo_i,4378,ok
2011,Abala,abala,001,true,capitulo_i,4544,ok
2012,Abala,abala,001,true,capitulo_i,4647,ok
2013,Abala,abala,001,true,capitulo_i,4561,ok
2014,Abala,abala,001,true,capitulo_i,4664,ok
2015,Abala,abala,001,true,capitulo_i,4777,ok
2016,Abala,abala,001,true,capitulo_i,4910,ok
2017,Abala,abala,001,true,capitulo_i,4426,ok
2018,Abala,abala,001,true,capitulo_i,4565,ok
2019,Abala,abala,001,true,capitulo_i,4473,ok
2020,Abala,abala,001,true,capitulo_i,4199,ok
2021,Abala,abala,001,false,,,not_segmented
2022,Abala,abala,001,true,capitulo_i,4182,ok
2023,Abala,abala,001,true,capitulo_i,4252,ok
2024,Abala,abala,001,true,capitulo_i,4243,ok
2010,Acanceh,acanceh,002,true,none,0,not_found
2011,Acanceh,acanceh,002,true,none,0,not_found
2012,Acanceh,acanceh,002,true,none,0,not_found
2013,Acanceh,acanceh,002,true,seccion_primera,3718,ok
2014,Acanceh,acanceh,002,true,seccion_primera,3651,ok
2015,Acanceh,acanceh,002,true,seccion_primera,3420,ok
2016,Acanceh,acanceh,002,false,,,not_segmented
2017,Acanceh,acanceh,002,true,seccion_primera,3433,ok
2018,Acanceh,acanceh,002,true,seccion_primera,3462,ok
2019,Acanceh,acanceh,002,true,seccion_primera,3415,ok
2020,Acanceh,acanceh,002,true,seccion_primera,3477,ok
2021,Acanceh,acanceh,002,true,seccion_primera,3392,ok
2022,Acanceh,acanceh,002,true,seccion_primera,3703,ok
2023,Acanceh,acanceh,002,true,seccion_primera,5385,ok
2024,Acanceh,acanceh,002,true,seccion_primera,5458,ok
2010,Akil,akil,003,true,capitulo_i,3728,ok
2011,Akil,akil,003,true,capitulo_i,3587,ok
2012,Akil,akil,003,true,seccion_primera,3647,ok
2013,Akil,akil,003,true,seccion_primera,4658,ok
2014,Akil,akil,003,true,capitulo_i,3002,ok
2015,Akil,akil,003,true,capitulo_i,3004,ok
2016,Akil,akil,003,true,capitulo_i,3467,ok
2017,Akil,akil,003,true,capitulo_i,3209,ok
2018,Akil,akil,003,true,capitulo_i,3452,ok
2019,Akil,akil,003,true,seccion_primera,3922,ok
2020,Akil,akil,003,true,seccion_primera,4022,ok
2021,Akil,akil,003,true,seccion_primera,5227,ok
2022,Akil,akil,003,true,seccion_primera,4701,ok
2023,Akil,akil,003,true,seccion_primera,4247,ok
2024,Akil,akil,003,true,seccion_primera,4134,ok
2010,Baca,baca,004,true,capitulo_i,2570,ok
2011,Baca,baca,004,true,capitulo_i,2543,ok
2012,Baca,baca,004,false,,,not_segmented
2013,Baca,baca,004,true,capitulo_i,2932,ok
2014,Baca,baca,004,true,capitulo_i,3300,ok
2015,Baca,baca,004,true,capitulo_i,3230,ok
2016,Baca,baca,004,false,,,not_segmented
2017,Baca,baca,004,true,seccion_primera,4132,ok
2018,Baca,baca,004,true,seccion_primera,4051,ok
2019,Baca,baca,004,true,seccion_primera,4316,ok
2020,Baca,baca,004,true,seccion_primera,3116,ok
2021,Baca,baca,004,true,seccion_primera,2827,ok
2022,Baca,baca,004,true,seccion_primera,3216,ok
2023,Baca,baca,004,true,seccion_primera,3234,ok
