municipio_slug,municipio_nombre,anio,tipo_esquema,esquema_valido,n_tarifa_rows,n_prog_rows,n_tasa_unica_rows,n_cuota_fija_rows,n_mixta_rows,anomalias,json_path
abala,Abala,2010,mixto,True,1,6,0,0,0,,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_abala.json
abala,Abala,2011,mixto,True,1,6,0,0,0,,data\yucatan\json_predial\2011\YUC_PREDIAL_2011_abala.json
abala,Abala,2012,tarifa_millar,True,1,0,0,0,0,cambio_brusco_n_filas_7_a_1|cambio_esquema_mixto_a_tarifa_millar_desde_2011,data\yucatan\json_predial\2012\YUC_PREDIAL_2012_abala.json
abala,Abala,2013,progresivo,True,1,6,0,0,0,cambio_brusco_n_filas_1_a_7|cambio_esquema_tarifa_millar_a_progresivo_desde_2012|tipo_progresivo_con_tabla_tarifa_no_vacia,data\yucatan\json_predial\2013\YUC_PREDIAL_2013_abala.json
abala,Abala,2014,progresivo,True,1,6,0,0,0,tipo_progresivo_con_tabla_tarifa_no_vacia,data\yucatan\json_predial\2014\YUC_PREDIAL_2014_abala.json
abala,Abala,2015,mixto,True,1,6,0,0,0,cambio_esquema_progresivo_a_mixto_desde_2014,data\yucatan\json_predial\2015\YUC_PREDIAL_2015_abala.json
abala,Abala,2016,progresivo,True,1,6,0,0,0,cambio_esquema_mixto_a_progresivo_desde_2015|tipo_progresivo_con_tabla_tarifa_no_vacia,data\yucatan\json_predial\2016\YUC_PREDIAL_2016_abala.json
abala,Abala,2017,mixto,True,1,6,0,0,0,cambio_esquema_progresivo_a_mixto_desde_2016,data\yucatan\json_predial\2017\YUC_PREDIAL_2017_abala.json
abala,Abala,2018,mixto,True,1,6,0,0,0,,data\yucatan\json_predial\2018\YUC_PREDIAL_2018_abala.json
abala,Abala,2019,mixto,True,1,0,0,0,6,cambio_brusco_n_filas_7_a_1|mixta_row1_columnas_vacias|mixta_row2_columnas_vacias|mixta_row3_columnas_vacias|mixta_row4_columnas_vacias|mixta_row5_columnas_vacias|mixta_row6_columnas_vacias,data\yucatan\json_predial\2019\YUC_PREDIAL_2019_abala.json
abala,Abala,2020,mixto,True,1,6,0,0,0,cambio_brusco_n_filas_1_a_7,data\yucatan\json_predial\2020\YUC_PREDIAL_2020_abala.json
abala,Abala,2022,mixto,True,1,6,0,0,0,,data\yucatan\json_predial\2022\YUC_PREDIAL_2022_abala.json
abala,Abala,2023,mixto,True,1,0,0,0,2,cambio_brusco_n_filas_7_a_1|mixta_row1_columnas_vacias|mixta_row2_columnas_vacias,data\yucatan\json_predial\2023\YUC_PREDIAL_2023_abala.json
abala,Abala,2024,mixto,True,1,0,1,1,0,tasa_unica_row1_unidad_no_reconocida,data\yucatan\json_predial\2024\YUC_PREDIAL_2024_abala.json
abala,Abala,2025,mixto,True,1,0,1,1,0,tasa_unica_row1_unidad_no_reconocida,data\yucatan\json_predial\2025\YUC_PREDIAL_2025_abala.json
acanceh,Acanceh,2013,mixto,True,1,6,0,0,0,,data\yucatan\json_predial\2013\YUC_PREDIAL_2013_acanceh.json
acanceh,Acanceh,2014,mixto,True,1,6,0,0,0,,data\yucatan\json_predial\2014\YUC_PREDIAL_2014_acanceh.json
acanceh,Acanceh,2015,mixto,True,1,0,0,0,6,cambio_brusco_n_filas_7_a_1|mixta_row1_columnas_vacias|mixta_row2_columnas_vacias|mixta_row3_columnas_vacias|mixta_row4_columnas_vacias|mixta_row5_columnas_vacias|mixta_row6_columnas_vacias,data\yucatan\json_predial\2015\YUC_PREDIAL_2015_acanceh.json
acanceh,Acanceh,2017,mixto,True,1,6,0,0,0,cambio_brusco_n_filas_1_a_7,data\yucatan\json_predial\2017\YUC_PREDIAL_2017_acanceh.json
acanceh,Acanceh,2018,mixto,True,1,6,0,0,0,,data\yucatan\json_predial\2018\YUC_PREDIAL_2018_acanceh.json
acanceh,Acanceh,2019,mixto,True,1,6,0,0,0,,data\yucatan\json_predial\2019\YUC_PREDIAL_2019_acanceh.json
acanceh,Acanceh,2020,mixto,True,1,6,0,0,0,,data\yucatan\json_predial\2020\YUC_PREDIAL_2020_acanceh.json
acanceh,Acanceh,2021,progresivo,True,1,6,0,0,0,cambio_esquema_mixto_a_progresivo_desde_2020|tipo_progresivo_con_tabla_tarifa_no_vacia,data\yucatan\json_predial\2021\YUC_PREDIAL_2021_acanceh.json
acanceh,Acanceh,2022,mixto,True,1,6,0,0,0,cambio_esquema_progresivo_a_mixto_desde_2021,data\yucatan\json_predial\2022\YUC_PREDIAL_2022_acanceh.json
acanceh,Acanceh,2023,mixto,True,1,6,0,0,0,,data\yucatan\json_predial\2023\YUC_PREDIAL_2023_acanceh.json
acanceh,Acanceh,2024,mixto,True,1,6,0,0,0,,data\yucatan\json_predial\2024\YUC_PREDIAL_2024_acanceh.json
acanceh,Acanceh,2025,mixto,True,1,6,0,0,0,,data\yucatan\json_predial\2025\YUC_PREDIAL_2025_acanceh.json
akil,Akil,2010,progresivo,True,1,7,0,0,0,tipo_progresivo_con_tabla_tarifa_no_vacia,data\yucatan\json_predial\2010\YUC_PREDIAL_2010_akil.json
akil,Akil,2011,progresivo,True,1,7,0,0,0,tipo_progresivo_con_tabla_tarifa_no_vacia,data\yucatan\json_predial\2011\YUC_PREDIAL_2011_akil.json
