tipo_esquema,estado_slug,estado,grupo,clave,n_apariciones,n_municipios,n_anios,slugify_match,slugify_sugerido,valores_observados,descripcion_ejemplo
mixto,yucatan,Yucatán,,general,2927,75,16,sí,,4.0|0.00075|7.0|0.002|10.0,
mixto,sonora,Sonora,,general,1238,45,10,sí,,41.95|0.0|41.95|0.4742|58.19,
tarifa_millar,tamaulipas,Tamaulipas,rustico,predios_rusticos,443,36,16,sí,,0.0015|0.0018|0.0015|0.0015|1.5,Predios rústicos
tarifa_millar,coahuila,Coahuila,urbano,predios_urbanos,441,36,16,sí,,5.0|0.003|3.0|0.003|3.0,Sobre Predios Urbanos
tarifa_millar,coahuila,Coahuila,rustico,predios_rusticos,429,36,16,sí,,3.0|0.003|3.0|0.003|3.0,Sobre Predios Rústicos
tarifa_millar,jalisco,Jalisco,urbano,urbano_edificado_valor_determinado,381,86,16,sí,,0.18|0.2|0.14|0.16|0.16,Predios urbanos edificados: sobre el valor determinado
tarifa_millar,jalisco,Jalisco,rustico,rustico_valor_fiscal_determinado,367,79,16,sí,,0.2|0.2|0.2|0.18|0.2,Predios rústicos: sobre el valor fiscal determinado
tarifa_millar,jalisco,Jalisco,urbano,urbano_no_edificado_valor_determinado,358,79,16,sí,,0.3|0.3|0.3|0.3|0.33,Predios urbanos no edificados: sobre el valor determinado
tarifa_millar,sanluispotosi,San Luis Potosí,rustico,rusticos_propiedad_privada,336,55,13,sí,,0.8|0.75|1.0|1.0|0.75,Predios rústicos de propiedad privada
tarifa_millar,sanluispotosi,San Luis Potosí,rustico,rusticos_propiedad_ejidal,334,55,13,sí,,0.53|0.5|0.75|0.75|0.5,Predios rústicos de propiedad ejidal
tarifa_millar,tamaulipas,Tamaulipas,urbano,predios_urbanos_con_edificaciones,309,24,16,sí,,0.0015|0.0015|1.5|0.0025|0.0015,Predios urbanos con edificaciones
tarifa_millar,jalisco,Jalisco,general,predios_en_general_base_fiscal_registrada,297,81,16,sí,,10.0|10.0|1.0|10.0|10.0,"Predios en general que han venido tributando con tasas diferentes a las contenidas en este artículo, sobre la base fiscal registrada"
tarifa_millar,sonora,Sonora,rustico,predios_rurales,278,27,11,sí,,0.8482|1.4905|1.4837|1.5066|2.2602,Sobre el valor catastral de cada hectárea de los predios rurales
tarifa_millar,tamaulipas,Tamaulipas,urbano,predios_suburbanos_con_edificaciones,270,24,16,sí,,0.0015|1.5|0.0025|0.0015|0.002,Predios suburbanos con edificaciones
tarifa_millar,jalisco,Jalisco,rustico,rustico_valor_fiscal,266,36,16,sí,,0.2|0.2|0.2|0.2|0.2,Predios rústicos cuyo valor real se determine en los términos de la Ley de Hacienda Municipal del Estado de Jalisco (del terreno y las construcciones en su caso) sobre el valor fiscal determinado
tarifa_millar,jalisco,Jalisco,rustico,rustico_valores_anteriores_2000,257,38,16,sí,,1.5|1.5|1.5|1.5|1.5,"Para predios valuados en los términos de la Ley de Catastro del Estado de Jalisco o cuyo valor se haya determinado en cualquier operación traslativa de dominio, con valores anteriores al año 2000, sob"
tarifa_millar,jalisco,Jalisco,rustico,construcciones_en_predios_rusticos_tasa_inciso_b,249,32,16,sí,,0.8|0.85|0.8|0.8|0.8,Construcciones localizadas en predios rústicos: se aplicará la tasa del inciso b)
tarifa_millar,tamaulipas,Tamaulipas,urbano,predios_urbanos_y_suburbanos_sin_edificaciones_baldios,246,24,16,sí,,0.003|0.002|1.5|0.005|0.004,Predios urbanos y suburbanos sin edificaciones (baldíos)
tarifa_millar,sanluispotosi,San Luis Potosí,urbano,urbanos_y_suburbanos_habitacionales_no_cercados,243,53,13,sí,,1.03|1.1|1.0|1.0|1.6,Predios no cercados
