estado,n_obs,n_municipios,anio_min,anio_max,n_anios,metodo
Chihuahua,1072,67,2010,2025,16,código estatal
Coahuila de Zaragoza,579,38,2010,2025,16,LLM
Colima,160,10,2010,2025,16,código estatal
Guanajuato,633,46,2010,2026,16,LLM
Jalisco,1976,125,2010,2025,16,LLM
Mexico,2000,125,2010,2025,16,código estatal
Oaxaca,4056,564,2010,2025,16,LLM
Queretaro,302,18,2010,2026,17,LLM
San Luis Potosi,578,59,2012,2025,13,LLM
Sinaloa,288,18,2010,2025,16,código estatal
Sonora,770,72,2010,2025,16,LLM
Tabasco,272,17,2010,2025,16,código estatal
Tamaulipas,685,43,2010,2025,16,LLM
Yucatan,1522,106,2010,2025,16,LLM
