estado,tarifa_millar,progresivo,tasa_unica,cuota_fija,mixto,otro
Chihuahua,0.0,100.0,0.0,0.0,0.0,0.0
Coahuila de Zaragoza,94.0,2.8,0.0,0.0,2.8,0.5
Colima,0.0,100.0,0.0,0.0,0.0,0.0
Guanajuato,82.0,9.6,0.2,0.9,5.1,2.2
Jalisco,94.2,4.8,0.0,0.0,0.3,0.7
Mexico,0.0,100.0,0.0,0.0,0.0,0.0
Oaxaca,0.5,0.0,89.8,0.2,0.0,9.4
Queretaro,72.5,27.2,0.0,0.0,0.0,0.3
San Luis Potosi,97.6,0.9,0.0,0.2,0.0,1.4
Sinaloa,0.0,100.0,0.0,0.0,0.0,0.0
Sonora,29.7,55.8,0.8,0.6,12.6,0.4
Tabasco,0.0,100.0,0.0,0.0,0.0,0.0
Tamaulipas,88.0,8.9,0.0,0.4,2.6,0.0
Yucatan,4.0,47.0,15.0,3.4,20.6,10.0
