cvegeo,estado,municipio,ejercicio_gap,motivo,prev_anio,prev_tipo,prev_pdf,prev_paginas,next_anio,next_tipo,next_pdf,next_paginas,pdf_candidato_gap,estatus,pdf_objetivo,paginas,notas,auditor,fecha
11007,Guanajuato,Celaya,2019,schema_discontinuity,2018,tarifa_millar,2017_11492_Periodico_Número_228_Segunda_Parte_ocr.pdf,p.86-99,2020,progresivo,2019_13220_Periodico_Numero_260_Segunda_Parte_ocr.pdf,p.111-126,2019_13182_Periodico_Numero_259_Septima_Parte.pdf,,,,,,
11014,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,2021,schema_discontinuity,2020,tarifa_millar,2019_13221_Periodico_Numero_260_Tercera_Parte_ocr.pdf,p.117-124,2022,mixto,2021_14624_Periodico_Numero_260_Séptima_Parte_ocr.pdf,p.28-41,2021_14082_Periódico_Número_27_Segunda_Parte.pdf,,,,,,
11015,Guanajuato,Guanajuato,2021,schema_discontinuity,2020,tarifa_millar,2019_13221_Periodico_Numero_260_Tercera_Parte_ocr.pdf,p.174-182,2023,progresivo,,,2021_14082_Periódico_Número_27_Segunda_Parte.pdf,,,,,,
11015,Guanajuato,Guanajuato,2022,schema_discontinuity,2020,tarifa_millar,2019_13221_Periodico_Numero_260_Tercera_Parte_ocr.pdf,p.174-182,2023,progresivo,,,2022_15505_Periódico_Numero_260_Tercera_Parte.pdf,,,,,,
11017,Guanajuato,Irapuato,2021,schema_discontinuity,2020,mixto,2019_13223_Periodico_Numero_260_Cuarta_Parte_ocr.pdf,p.10-32,2022,progresivo,2021_14625_Periodico_Numero_260_Octava_Parte_ocr.pdf,p.28-225,2021_14082_Periódico_Número_27_Segunda_Parte.pdf,,,,,,
11020,Guanajuato,Leon,2013,schema_discontinuity,2012,progresivo,2011_3455_Periodico_Numero_204_Decima_Segunda_Parte_ocr.pdf,p.116-128,2014,mixto,2013_4928_Periodico_Numero_207_Septima_Parte_ocr.pdf,p.130-145,2013_4923_Periodico_Numero_207_Segunda_Parte.pdf,,,,,,
11020,Guanajuato,Leon,2024,schema_discontinuity,2023,progresivo,2022_15519_Periodico_Numero_260_Decima_Quinta_Parte_ocr.pdf,p.36-49,2025,mixto,2024_17229_Periódico_Número_261_Décima_Cuarta_Parte_ocr.pdf,p.185-198,2024_17194_Periódico_Número_261_Segunda_Parte.pdf,,,,,,
11033,Guanajuato,San Luis de la Paz,2024,schema_discontinuity,2023,tarifa_millar,2022_15525_Periodico_Numero_260_Vigesima_Primera_Parte_ocr.pdf,p.18-26,2025,progresivo,2024_17212_Periódico_Número_261_Vigésima_Primera_Parte_ocr.pdf,p.25-36,2024_17194_Periódico_Número_261_Segunda_Parte.pdf,,,,,,
11003,Guanajuato,San Miguel de Allende,2013,schema_discontinuity,2012,tarifa_millar,2011_3456_Periodico_Numero_204_Decima_Tercera_Parte_ocr.pdf,p.3-9,2014,mixto,2013_4938_Periodico_Numero_207_Decima_Septima_Parte_ocr.pdf,p.75-82,2013_4923_Periodico_Numero_207_Segunda_Parte.pdf,,,,,,
11036,Guanajuato,Santiago Maravatio,2024,schema_discontinuity,2023,tarifa_millar,2022_15526_Periodico_Numero_260_Vigesima_Segunda_Parte_ocr.pdf,p.187-195,2025,mixto,2024_17215_Periódico_Número_261_Vigésima_Cuarta_Parte_ocr.pdf,,2024_17194_Periódico_Número_261_Segunda_Parte.pdf,,,,,,
14071,Jalisco,San Cristobal de la Barranca,2021,schema_discontinuity,2020,tarifa_millar,,,2022,progresivo,,,JAL_RAW_2021_acatic.pdf,,,,,,
22005,Queretaro,Colon,2016,schema_discontinuity,2015,tarifa_millar,,,2017,progresivo,,,QRO_RAW_20161271-01.pdf,,,,,,
22005,Queretaro,Colon,2016,sin_predial_residual,,,,,,,,,,,,,,,
22011,Queretaro,El Marques,2015,schema_discontinuity,2014,tarifa_millar,,,2017,progresivo,,,QRO_RAW_20151298-01.pdf,,,,,,
22011,Queretaro,El Marques,2016,schema_discontinuity,2014,tarifa_millar,,,2017,progresivo,,,QRO_RAW_20161271-01.pdf,,,,,,
22011,Queretaro,El Marqués,2015,sin_predial_residual,,,,,,,,,,,,,,,
22011,Queretaro,El Marqués,2015,sin_predial_residual,,,,,,,,,,,,,,,
22011,Queretaro,El Marqués,2015,sin_predial_residual,,,,,,,,,,,,,,,
22011,Queretaro,El Marqués,2016,sin_predial_residual,,,,,,,,,,,,,,,
22011,Queretaro,El Marqués,2016,sin_predial_residual,,,,,,,,,,,,,,,
22011,Queretaro,El Marqués,2016,sin_predial_residual,,,,,,,,,,,,,,,
22011,Queretaro,El Marqués,2025,sin_predial_residual,,,,,,,,,,,,,,,
22014,Queretaro,Querétaro,2022,sin_predial_residual,,,,,,,,,,,,,,,
31004,Yucatan,Baca,2016,schema_discontinuity,2015,tasa_unica,2014\2014-12-24_2.pdf,p.54-56,2017,cuota_fija_escalonada,2016\2016-12-28_2.pdf,p.44-47,2016-01-04_1.pdf,,,,,,
31005,Yucatan,Bokoba,2016,schema_discontinuity,2015,progresivo,2014\2014-12-24_2.pdf,p.64-66,2017,mixto,2016\2016-12-29_2.pdf,p.29-31,2016-01-04_1.pdf,,,,,,
31019,Yucatan,Chemax,2022,schema_discontinuity,2021,mixto,2020\2020-12-28_2.pdf,p.276-278,2023,progresivo,2022\2022-12-30_4.pdf,p.446-448,2022-01-13_2.pdf,,,,,,
31021,Yucatan,Chichimila,2016,schema_discontinuity,2015,progresivo,2014\2014-12-24_2.pdf,p.320-321,2017,mixto,2016\2016-12-28_2.pdf,p.278-279,2016-01-04_1.pdf,,,,,,
31023,Yucatan,Chochola,2017,edge,2012,otro_no_clasificado,2011\2011-12-28_suplemento.pdf,p.296-299,2019,otro_no_clasificado,2018\2018-12-28_2.pdf,p.393-399,2017-01-03_1.pdf,,,,,,
31023,Yucatan,Chochola,2018,edge,2012,otro_no_clasificado,2011\2011-12-28_suplemento.pdf,p.296-299,2019,otro_no_clasificado,2018\2018-12-28_2.pdf,p.393-399,2018-01-15_1.pdf,,,,,,
31023,Yucatan,Chochola,2022,schema_discontinuity,2021,otro_no_clasificado,2020\2020-12-29_2.pdf,p.139-145,2023,mixto,2022\2022-12-30_4.pdf,p.542-546,2022-01-13_2.pdf,,,,,,
31028,Yucatan,Dzilam de Bravo,2021,edge,2016,cuota_fija_simple,2015\2015-12-23_2.pdf,p.348-349,2022,tasa_unica,2021\2021-12-31_3.pdf,p.635-637,2021-01-04_1.pdf,,,,,,
31028,Yucatan,Dzilám de Bravo,2021,sin_predial_residual,,,,,,,,,2020-12-29_2.pdf,,,,,,
31034,Yucatan,Hocabá,2019,sin_predial_residual,,,,,,,,,2018-12-28_2.pdf,,,,,,
31034,Yucatan,Hocabá,2020,sin_predial_residual,,,,,,,,,2019-12-27_2.pdf,,,,,,
31034,Yucatan,Hocabá,2021,sin_predial_residual,,,,,,,,,2020-12-29_2.pdf,,,,,,
31034,Yucatan,Hocabá,2023,sin_predial_residual,,,,,,,,,2022-12-30_4.pdf,,,,,,
31034,Yucatan,Hocabá,2024,sin_predial_residual,,,,,,,,,2023-12-29_3.pdf,,,,,,
31034,Yucatan,Hocabá,2025,sin_predial_residual,,,,,,,,,2024-12-30_3.pdf,,,,,,
31038,Yucatan,Hunucma,2020,edge,2015,tasa_unica,2014\2014-12-31_2.pdf,p.158-164,2024,progresivo,2023\2023-12-29_3.pdf,p.853-859,2020-01-03_1.pdf,,,,,,
31038,Yucatan,Hunucma,2021,edge,2015,tasa_unica,2014\2014-12-31_2.pdf,p.158-164,2024,progresivo,2023\2023-12-29_3.pdf,p.853-859,2021-01-04_1.pdf,,,,,,
31038,Yucatan,Hunucma,2022,edge,2015,tasa_unica,2014\2014-12-31_2.pdf,p.158-164,2024,progresivo,2023\2023-12-29_3.pdf,p.853-859,2022-01-13_2.pdf,,,,,,
31038,Yucatan,Hunucma,2023,edge,2015,tasa_unica,2014\2014-12-31_2.pdf,p.158-164,2024,progresivo,2023\2023-12-29_3.pdf,p.853-859,2023-01-12_2.pdf,,,,,,
31039,Yucatan,Ixil,2016,schema_discontinuity,2015,tasa_unica,2014\2014-12-31_2.pdf,p.186-188,2017,progresivo,2016\2016-12-29_2.pdf,p.167-169,2016-01-04_1.pdf,,,,,,
31047,Yucatan,Mani,2016,schema_discontinuity,2015,tasa_unica,2014\2014-12-31_2.pdf,p.284-285,2017,progresivo,2016\2016-12-29_2.pdf,p.268-270,2016-01-04_1.pdf,,,,,,
31048,Yucatan,Maxcanu,2016,schema_discontinuity,2015,progresivo,2014\2014-12-31_2.pdf,p.293-297,2017,mixto,2016\2016-12-29_2.pdf,p.280-283,2016-01-04_1.pdf,,,,,,
31058,Yucatan,Peto,2016,schema_discontinuity,2015,tasa_unica,2014\2014-12-31_2.pdf,p.358,2017,progresivo,2016\2016-12-28_2.pdf,p.545-549,2016-01-04_1.pdf,,,,,,
31059,Yucatan,Progreso,2014,schema_discontinuity,2013,mixto,2012\2012-12-27_suplemento.pdf,p.336-343,2015,progresivo,2014\2014-12-31_2.pdf,p.382-389,2014-01-10_1.pdf,,,,,,
31063,Yucatan,Samahil,2014,schema_discontinuity,2013,mixto,2012\2012-12-24_suplemento.pdf,p.520-523,2015,progresivo,2014\2014-12-24_2.pdf,p.610-613,2014-01-10_1.pdf,,,,,,
31065,Yucatan,San Felipe,2021,schema_discontinuity,2020,progresivo,2019\2019-12-27_2.pdf,p.685-687,2022,tasa_unica,2021\2021-12-31_3.pdf,p.1523-1525,2021-01-04_1.pdf,,,,,,
31065,Yucatan,San Felipe,2021,sin_predial_residual,,,,,,,,,2020-12-29_2.pdf,,,,,,
31069,Yucatan,Sotuta,2016,schema_discontinuity,2015,otro_no_clasificado,2014\2014-12-24_2.pdf,p.654-659,2017,progresivo,2016\2016-12-29_2.pdf,p.474-477,2016-01-04_1.pdf,,,,,,
31075,Yucatan,Teabo,2016,schema_discontinuity,2015,tarifa_millar,2014\2014-12-24_2.pdf,p.694-696,2017,progresivo,2016\2016-12-29_2.pdf,p.539-541,2016-01-04_1.pdf,,,,,,
31079,Yucatan,Tekax,2018,schema_discontinuity,2017,tasa_unica,2016\2016-12-29_2.pdf,p.586-587,2019,otro_no_clasificado,2018\2018-12-29_2.pdf,p.417-424,2018-01-15_1.pdf,,,,,,
31079,Yucatan,Tekax,2018,sin_predial_residual,,,,,,,,,2017-12-31_3.pdf,,,,,,
31079,Yucatan,Tekax,2025,sin_predial_residual,,,,,,,,,2024-12-30_3.pdf,,,,,,
31081,Yucatan,Tekom,2020,edge,2015,progresivo,2014\2014-12-24_2.pdf,p.741-744,2021,tasa_unica,2020\2020-12-29_2.pdf,p.897-898,2020-01-03_1.pdf,,,,,,
31083,Yucatan,Telchac Puerto,2021,schema_discontinuity,2020,mixto,2019\2019-12-27_2.pdf,p.939-944,2022,progresivo,2021\2021-12-31_3.pdf,p.1873-1877,2021-01-04_1.pdf,,,,,,
31085,Yucatan,Temozon,2013,schema_discontinuity,2012,tasa_unica,2011\2011-12-29_suplemento.pdf,p.479-481,2014,tarifa_millar,2013\2013-12-31_3.pdf,p.469-471,2013-01-15.pdf,,,,,,
31085,Yucatan,Temozon,2016,schema_discontinuity,2015,tarifa_millar,2014\2014-12-31_2.pdf,p.582-584,2017,progresivo,2016\2016-12-29_2.pdf,p.636-638,2016-01-04_1.pdf,,,,,,
31085,Yucatan,Temozón,2013,sin_predial_residual,,,,,,,,,2012-12-27_suplemento.pdf,,,,,,
31090,Yucatan,Timucuy,2016,schema_discontinuity,2015,mixto,2014\2014-12-31_2.pdf,p.660-662,2017,progresivo,2016\2016-12-29_2.pdf,p.688-690,2016-01-04_1.pdf,,,,,,
31091,Yucatan,Tinum,2020,schema_discontinuity,2019,progresivo,2018\2018-12-28_2.pdf,p.1485-1490,2022,mixto,2021\2021-12-31_3.pdf,p.2087-2092,2020-01-03_1.pdf,,,,,,
31091,Yucatan,Tinum,2021,schema_discontinuity,2019,progresivo,2018\2018-12-28_2.pdf,p.1485-1490,2022,mixto,2021\2021-12-31_3.pdf,p.2087-2092,2021-01-04_1.pdf,,,,,,
31091,Yucatan,Tinum,2021,sin_predial_residual,,,,,,,,,2020-12-28_2.pdf,,,,,,
31093,Yucatan,Tixkokob,2016,schema_discontinuity,2015,progresivo,2014\2014-12-31_2.pdf,p.699-702,2017,mixto,2016\2016-12-28_2.pdf,p.747-750,2016-01-04_1.pdf,,,,,,
31095,Yucatan,Tixpehual,2021,schema_discontinuity,2020,progresivo,2019\2019-12-24_2.pdf,p.994-997,2022,otro_no_clasificado,2021\2021-12-31_3.pdf,p.2172-2179,2021-01-04_1.pdf,,,,,,
31100,Yucatan,Ucú,2021,sin_predial_residual,,,,,,,,,2020-12-28_2.pdf,,,,,,
31100,Yucatan,Ucú,2022,sin_predial_residual,,,,,,,,,2021-12-31_3.pdf,,,,,,
31100,Yucatan,Ucú,2023,sin_predial_residual,,,,,,,,,2022-12-30_4.pdf,,,,,,
31100,Yucatan,Ucú,2024,sin_predial_residual,,,,,,,,,2023-12-29_3.pdf,,,,,,
31100,Yucatan,Ucú,2025,sin_predial_residual,,,,,,,,,2024-12-30_4.pdf,,,,,,
31102,Yucatan,Valladolid,2018,sin_predial_residual,,,,,,,,,2017-12-31_3.pdf,,,,,,
31102,Yucatan,Valladolid,2019,sin_predial_residual,,,,,,,,,2018-12-28_2.pdf,,,,,,
31102,Yucatan,Valladolid,2020,sin_predial_residual,,,,,,,,,2019-12-27_2.pdf,,,,,,
31102,Yucatan,Valladolid,2021,sin_predial_residual,,,,,,,,,2020-12-29_2.pdf,,,,,,
31102,Yucatan,Valladolid,2022,sin_predial_residual,,,,,,,,,2021-12-31_3.pdf,,,,,,
31102,Yucatan,Valladolid,2023,sin_predial_residual,,,,,,,,,2022-12-30_4.pdf,,,,,,
31102,Yucatan,Valladolid,2024,sin_predial_residual,,,,,,,,,2023-12-29_3.pdf,,,,,,
31102,Yucatan,Valladolid,2025,sin_predial_residual,,,,,,,,,2024-12-30_4.pdf,,,,,,
31103,Yucatan,Xocchel,2016,schema_discontinuity,2015,progresivo,2014\2014-12-31_2.pdf,p.850-852,2017,mixto,2016\2016-12-29_2.pdf,p.835-837,2016-01-04_1.pdf,,,,,,
31104,Yucatan,Yaxcaba,2016,schema_discontinuity,2015,mixto,2014\2014-12-31_2.pdf,p.868-870,2017,progresivo,2016\2016-12-29_2.pdf,p.848-850,2016-01-04_1.pdf,,,,,,
31105,Yucatan,Yaxkukul,2021,schema_discontinuity,2020,tasa_unica,2019\2019-12-24_2.pdf,p.1072-1075,2022,otro_no_clasificado,2021\2021-12-31_3.pdf,p.2447-2449,2021-01-04_1.pdf,,,,,,
