estado,anio,municipio_raw,slug_actual,source_pdf,tiene_focus,cand_cvegeo,cand_nombre,cand_score,cand_metodo,veredicto,gap_neto
yucatan,2010,Suma de Hidalgo,suma_de_hidalgo,2009-12-29_suplemento.pdf,True,31063,Samahil,0.55,fuzzy,ruido_o_OCR_severo,False
yucatan,2013,Suma de Hidalgo,suma_de_hidalgo,2012-12-24_suplemento.pdf,True,31063,Samahil,0.55,fuzzy,ruido_o_OCR_severo,False
yucatan,2014,Suma de Hidalgo,suma_de_hidalgo,2013-12-31_2.pdf,True,31063,Samahil,0.55,fuzzy,ruido_o_OCR_severo,True
yucatan,2015,Suma de Hidalgo,suma_de_hidalgo,2014-12-24_2.pdf,True,31063,Samahil,0.55,fuzzy,ruido_o_OCR_severo,False
yucatan,2016,Suma de Hidalgo,suma_de_hidalgo,2015-12-23_2.pdf,True,31063,Samahil,0.55,fuzzy,ruido_o_OCR_severo,False
yucatan,2017,"Ucú, del Estado de",ucu_del_estado_de,2016-12-28_2.pdf,False,31011,Celestun,0.48,fuzzy,ruido_o_OCR_severo,False
yucatan,2017,Suma de Hidalgo,suma_de_hidalgo,2016-12-29_2.pdf,True,31063,Samahil,0.55,fuzzy,ruido_o_OCR_severo,True
yucatan,2018,Suma de Hidalgo,suma_de_hidalgo,2017-12-31_2.pdf,True,31063,Samahil,0.55,fuzzy,ruido_o_OCR_severo,False
yucatan,2019,Suma de Hidalgo,suma_de_hidalgo,2018-12-28_2.pdf,True,31063,Samahil,0.55,fuzzy,ruido_o_OCR_severo,False
yucatan,2020,Suma de Hidalgo,suma_de_hidalgo,2019-12-27_2.pdf,True,31063,Samahil,0.55,fuzzy,ruido_o_OCR_severo,False
yucatan,2022,Suma de Hidalgo,suma_de_hidalgo,2021-12-31_3.pdf,False,31063,Samahil,0.55,fuzzy,ruido_o_OCR_severo,False
yucatan,2023,Suma de Hidalgo,suma_de_hidalgo,2022-12-30_4.pdf,True,31063,Samahil,0.55,fuzzy,ruido_o_OCR_severo,False
yucatan,2024,Suma de Hidalgo,suma_de_hidalgo,2023-12-29_3.pdf,True,31063,Samahil,0.55,fuzzy,ruido_o_OCR_severo,False
yucatan,2025,Suma de Hidalgo,suma_de_hidalgo,2024-12-30_4.pdf,True,31063,Samahil,0.55,fuzzy,ruido_o_OCR_severo,False
tamaulipas,2015,ABASOLO LA SEXAGÉSIMA SEGUNDA LEGISLATURA DEL CONGRESO CONSTITUCIONAL DEL ESTADO LIBRE Y SOBERANO DE,abasolo_la_sexagesima_segunda_legislatura_del_congreso_constitucional_del_estado_libre_y_soberano_de,TAMPS_RAW_2015_consolidado.pdf,True,28037,Soto la Marina,0.21,fuzzy,ruido_o_OCR_severo,False
guanajuato,2010,"PÉNJIAMO, GUANAJ JATO",penjiamo_guanaj_jato,2010_2283_Periodico_Numero_206_Sexta_Parte_ocr.pdf,True,11015,Guanajuato,0.60,fuzzy,revisar,True
guanajuato,2014,"GUANAJUATO, GUAMAJUATO PARA EL. EJERCICIO FISCAL DEL 2014 CAPÍTULO PRIMERO DE LA MATURALEZA Y OBJETO DE LA LEY Artículo ",guanajuato_guamajuato_para_el_ejercicio_fiscal_del_2014_capitulo_primero_de_la_maturaleza_y_objeto_de_la_ley_articulo_t_la_presente_ley_es_de_orden_publico_y_tiene_por_objeto_establecer_los_ingresos_que_percibira_la_hacienda_publica_del_municipio_de,2013_4926_Periodico_Numero_207_Quinta_Parte_ocr.pdf,False,11014,Dolores Hidalgo Cuna de la Independencia Nacional,0.19,fuzzy,ruido_o_OCR_severo,False
guanajuato,2017,XICRÚ,xicru,2016_10824_Periodico_Numero_207_Sexta_Parte_ocr.pdf,True,11045,Xichu,0.80,fuzzy,revisar,True
guanajuato,2018,"SAN JOSÉ ITURBIDE, GUAMAJUATO",san_jose_iturbide_guamajuato,2017_11501_Periodico_Número_225_Tercera_Parte_ocr.pdf,True,11032,San Jose de Iturbide,0.71,fuzzy,revisar,True
guanajuato,2018,Meoroicón,meoroicon,2017_11506_Periodico_Numero_224_Cuarta_Parte_ocr.pdf,True,11021,Moroleon,0.71,fuzzy,revisar,True
guanajuato,2018,"MOROLEÓN, GUANAJGATO, PARA EL ZJERCICIO FISCAL DEL AMO 2018 CAPÍTULO PRIMERO DE LA NATURALEZA Y OBJETO DE LA LEY Artícul",moroleon_guanajgato_para_el_zjercicio_fiscal_del_amo_2018_capitulo_primero_de_la_naturaleza_y_objeto_de_la_ley_articulo_1_la_presente_ley_es_de_orden_publico_y_tiene_por_objeto_establecer_los_ingresos_que_percibira_la_hacienda_publica_del_municipio_de_morolteon,2017_11506_Periodico_Numero_224_Cuarta_Parte_ocr.pdf,False,11014,Dolores Hidalgo Cuna de la Independencia Nacional,0.19,fuzzy,ruido_o_OCR_severo,False
guanajuato,2018,Pueble fuevo,pueble_fuevo,2017_11508_Periodico_Numero_225_Segunda_Parte_ocr.pdf,True,11024,Pueblo Nuevo,0.75,fuzzy,revisar,False
guanajuato,2019,DCAMPO,dcampo,2018_12469_Periodico_Numero_259_Cuarta_Parte_ocr.pdf,True,11022,Ocampo,0.83,fuzzy,revisar,False
guanajuato,2018,"PÉNIAMO, GUAMAJUATO",peniamo_guamajuato,2018_12469_Periodico_Numero_259_Cuarta_Parte_ocr.pdf,True,11015,Guanajuato,0.64,fuzzy,revisar,False
guanajuato,2020,"SANTA CRUZ DE JUVENTINO ROSAS, Articulo 1. ingresos que percibira la hacienda pública del municipio de Santa Cruz de.",santa_cruz_de_juventino_rosas_articulo_1_ingresos_que_percibira_la_hacienda_publica_del_municipio_de_santa_cruz_de,2019_13201_Periodico_Numero_260_Septima_Parte_ocr.pdf,False,11035,Santa Cruz de Juventino Rosas,0.41,fuzzy,ruido_o_OCR_severo,False
guanajuato,2022,PÉNMIAMO,penmiamo,2021_14629_Periodico_Numero_260_Décima_Segunda_Parte_ocr.pdf,True,11023,Penjamo,0.80,fuzzy,revisar,True
guanajuato,2023,"León, Fiscal del año 2023, para quedar en tos siguientes ARA EL MUNICIPIO DE LEÓN",leon_fiscal_del_ano_2023_para_quedar_en_tos_siguientes_ara_el_municipio_de_leon,2022_15519_Periodico_Numero_260_Decima_Quinta_Parte_ocr.pdf,True,11031,San Francisco del Rincon,0.27,fuzzy,ruido_o_OCR_severo,True
guanajuato,2023,MO,mo,2022_15521_Periodico_Numero_260_Decima_Septima_Parte_ocr.pdf,True,11022,Ocampo,0.50,fuzzy,ruido_o_OCR_severo,True
guanajuato,2023,PUES,pues,2022_15522_Periodico_Numero_260_Decima_Octava_Parte_ocr.pdf,True,11024,Pueblo Nuevo,0.38,fuzzy,ruido_o_OCR_severo,True
guanajuato,2023,SA 1. ingresos administración centralizada.,sa_1_ingresos_administracion_centralizada,2022_15525_Periodico_Numero_260_Vigesima_Primera_Parte_ocr.pdf,True,11003,San Miguel de Allende,0.35,fuzzy,ruido_o_OCR_severo,True
guanajuato,2023,SAN ROSAS,san_rosas,2022_15526_Periodico_Numero_260_Vigesima_Segunda_Parte_ocr.pdf,True,11016,Huanimaro,0.44,fuzzy,ruido_o_OCR_severo,False
guanajuato,2024,OCA,oca,2023_16360_Periodico_Numero_261_Sexta_Parte_ocr.pdf,True,11022,Ocampo,0.67,fuzzy,revisar,True
guanajuato,2024,Santa uanajuato,santa_uanajuato,2023_16449_Periodico_Numero_261_Vigesima_Sexta_Parte_ocr.pdf,True,11015,Guanajuato,0.72,fuzzy,revisar,False
guanajuato,2025,ato,ato,2024_17195_Periódico_Número_261_Tercera_Parte_ocr.pdf,True,11017,Irapuato,0.55,fuzzy,ruido_o_OCR_severo,False
guanajuato,2025,"PUE Artículo 1 La presente Ley es de orden público, establecer los ingresos que percibirá la Hacienda Pública del M Nuev",pue_articulo_1_la_presente_ley_es_de_orden_publico_establecer_los_ingresos_que_percibira_la_hacienda_publica_del_m_nuevo,2024_17201_Periódico_Número_261_Décima_Séptima_Parte_ocr.pdf,False,11014,Dolores Hidalgo Cuna de la Independencia Nacional,0.30,fuzzy,ruido_o_OCR_severo,True
guanajuato,2025,Santiago ATO,santiago_ato,2024_17213_Periódico_Número_261_Vigésima_Segunda_Parte_ocr.pdf,True,11036,Santiago Maravatio,0.73,fuzzy,revisar,True
guanajuato,2025,Valle de Estimado 5,valle_de_estimado_5,2024_17215_Periódico_Número_261_Vigésima_Cuarta_Parte_ocr.pdf,True,11042,Valle de Santiago,0.78,fuzzy,revisar,False
guanajuato,2025,Valle de Estimado y,valle_de_estimado_y,2024_17215_Periódico_Número_261_Vigésima_Cuarta_Parte_ocr.pdf,True,11042,Valle de Santiago,0.78,fuzzy,revisar,False
guanajuato,2025,Valle de Estimado o,valle_de_estimado_o,2024_17215_Periódico_Número_261_Vigésima_Cuarta_Parte_ocr.pdf,True,11042,Valle de Santiago,0.78,fuzzy,revisar,False
guanajuato,2025,Valle de Estimado E go,valle_de_estimado_e_go,2024_17215_Periódico_Número_261_Vigésima_Cuarta_Parte_ocr.pdf,True,11042,Valle de Santiago,0.77,fuzzy,revisar,False
guanajuato,2025,YU sn,yu_sn,2024_17216_Periódico_Número_261_Vigésima_Quinta_Parte_ocr.pdf,True,11024,Pueblo Nuevo,0.35,fuzzy,ruido_o_OCR_severo,True
guanajuato,2025,RU HARO,ru_haro,2024_17228_Periódico_Número_261_Décima_Primera_Parte_ocr.pdf,True,11019,Jerecuaro,0.62,fuzzy,revisar,True
guanajuato,2025,MO Z. Ingresos Administración Centralizada DECRETO MÚMERO 23,mo_z_ingresos_administracion_centralizada_decreto_mumero_23,2024_17241_Periódico_Número_261_Décima_Sexta_Parte_ocr.pdf,True,11035,Santa Cruz de Juventino Rosas,0.27,fuzzy,ruido_o_OCR_severo,True
guanajuato,2025,OC 4,oc_4,2024_17241_Periódico_Número_261_Décima_Sexta_Parte_ocr.pdf,True,11013,Doctor Mora,0.40,fuzzy,ruido_o_OCR_severo,True
sonora,2010,,la_da,2009CLXXXIV53XVIII.pdf,True,26021,La Colorada,0.62,fuzzy,revisar,True
