cvegeo,ejercicio,estado,municipio,tipo_esquema,numero_rangos,monto_max_rango,imputed_method,imputed_from_year
08001,2010,Chihuahua,Ahumada,progresivo,5,1282680.0,,
08001,2011,Chihuahua,Ahumada,progresivo,5,1282680.0,,
08001,2012,Chihuahua,Ahumada,progresivo,5,1282680.0,,
08001,2013,Chihuahua,Ahumada,progresivo,5,1282680.0,,
08001,2014,Chihuahua,Ahumada,progresivo,5,1282680.0,,
08001,2015,Chihuahua,Ahumada,progresivo,5,1282680.0,,
08001,2016,Chihuahua,Ahumada,progresivo,5,1282680.0,,
08001,2017,Chihuahua,Ahumada,progresivo,5,1282680.0,,
08001,2018,Chihuahua,Ahumada,progresivo,5,1282680.0,,
08001,2019,Chihuahua,Ahumada,progresivo,5,1282680.0,,
08001,2020,Chihuahua,Ahumada,progresivo,5,1282680.0,,
08001,2021,Chihuahua,Ahumada,progresivo,5,1282680.0,,
08001,2022,Chihuahua,Ahumada,progresivo,5,1282680.0,,
08001,2023,Chihuahua,Ahumada,progresivo,5,1282680.0,,
08001,2024,Chihuahua,Ahumada,progresivo,5,1282680.0,,
08001,2025,Chihuahua,Ahumada,progresivo,5,1282680.0,,
08002,2010,Chihuahua,Aldama,progresivo,5,1282680.0,,
08002,2011,Chihuahua,Aldama,progresivo,5,1282680.0,,
08002,2012,Chihuahua,Aldama,progresivo,5,1282680.0,,
08002,2013,Chihuahua,Aldama,progresivo,5,1282680.0,,
08002,2014,Chihuahua,Aldama,progresivo,5,1282680.0,,
08002,2015,Chihuahua,Aldama,progresivo,5,1282680.0,,
08002,2016,Chihuahua,Aldama,progresivo,5,1282680.0,,
08002,2017,Chihuahua,Aldama,progresivo,5,1282680.0,,
08002,2018,Chihuahua,Aldama,progresivo,5,1282680.0,,
08002,2019,Chihuahua,Aldama,progresivo,5,1282680.0,,
08002,2020,Chihuahua,Aldama,progresivo,5,1282680.0,,
08002,2021,Chihuahua,Aldama,progresivo,5,1282680.0,,
08002,2022,Chihuahua,Aldama,progresivo,5,1282680.0,,
08002,2023,Chihuahua,Aldama,progresivo,5,1282680.0,,
08002,2024,Chihuahua,Aldama,progresivo,5,1282680.0,,
08002,2025,Chihuahua,Aldama,progresivo,5,1282680.0,,
08003,2010,Chihuahua,Allende,progresivo,5,1282680.0,,
08003,2011,Chihuahua,Allende,progresivo,5,1282680.0,,
08003,2012,Chihuahua,Allende,progresivo,5,1282680.0,,
08003,2013,Chihuahua,Allende,progresivo,5,1282680.0,,
08003,2014,Chihuahua,Allende,progresivo,5,1282680.0,,
08003,2015,Chihuahua,Allende,progresivo,5,1282680.0,,
08003,2016,Chihuahua,Allende,progresivo,5,1282680.0,,
08003,2017,Chihuahua,Allende,progresivo,5,1282680.0,,
08003,2018,Chihuahua,Allende,progresivo,5,1282680.0,,
08003,2019,Chihuahua,Allende,progresivo,5,1282680.0,,
08003,2020,Chihuahua,Allende,progresivo,5,1282680.0,,
08003,2021,Chihuahua,Allende,progresivo,5,1282680.0,,
08003,2022,Chihuahua,Allende,progresivo,5,1282680.0,,
